sym,result,pnl,equity,entry_time,exit_time,month,date,entry_hour,h4_bucket,h4_key
EURUSD,loss,-7027769.180324385,344360689.8358949,2025-08-20 17:00:00+00:00,2025-08-21 00:42:00+00:00,2025-08,2025-08-20,17,16,2025-08-20_16
EURUSD,win,3443606.898358949,347804296.7342538,2025-08-20 19:00:00+00:00,2025-08-21 07:36:00+00:00,2025-08,2025-08-20,19,16,2025-08-20_16
EURUSD,win,13912171.869370155,361716468.603624,2025-08-20 22:00:00+00:00,2025-08-21 06:22:00+00:00,2025-08,2025-08-20,22,20,2025-08-20_20
EURUSD,win,14468658.744144961,376185127.34776896,2025-08-20 23:00:00+00:00,2025-08-21 06:22:00+00:00,2025-08,2025-08-20,23,20,2025-08-20_20
EURUSD,win,15047405.093910761,391232532.4416797,2025-08-21 00:00:00+00:00,2025-08-21 06:45:00+00:00,2025-08,2025-08-21,0,0,2025-08-21_00
EURUSD,win,3912325.3244167967,395144857.76609653,2025-08-21 01:00:00+00:00,2025-08-21 07:30:00+00:00,2025-08,2025-08-21,1,0,2025-08-21_00
EURUSD,win,3951448.577660965,399096306.3437575,2025-08-21 02:00:00+00:00,2025-08-21 07:30:00+00:00,2025-08,2025-08-21,2,0,2025-08-21_00
EURUSD,win,15963852.2537503,415060158.59750783,2025-08-21 12:00:00+00:00,2025-08-22 04:28:00+00:00,2025-08,2025-08-21,12,12,2025-08-21_12
EURUSD,win,16602406.343900312,431662564.9414081,2025-08-21 13:00:00+00:00,2025-08-21 14:45:00+00:00,2025-08,2025-08-21,13,12,2025-08-21_12
EURUSD,win,4316625.649414081,435979190.59082216,2025-08-21 19:00:00+00:00,2025-08-22 12:13:00+00:00,2025-08,2025-08-21,19,16,2025-08-21_16
EURUSD,loss,-8719583.811816443,427259606.7790057,2025-08-21 22:00:00+00:00,2025-08-21 23:38:00+00:00,2025-08,2025-08-21,22,20,2025-08-21_20
EURUSD,win,17090384.27116023,444349991.0501659,2025-08-22 03:00:00+00:00,2025-08-22 04:30:00+00:00,2025-08,2025-08-22,3,0,2025-08-22_00
EURUSD,win,4443499.910501659,448793490.96066755,2025-08-22 17:00:00+00:00,2025-08-22 18:56:00+00:00,2025-08,2025-08-22,17,16,2025-08-22_16
EURUSD,win,17951739.638426702,466745230.5990943,2025-08-25 03:00:00+00:00,2025-08-25 06:19:00+00:00,2025-08,2025-08-25,3,0,2025-08-25_00
EURUSD,loss,-9334904.611981886,457410325.9871124,2025-08-25 04:00:00+00:00,2025-08-25 09:51:00+00:00,2025-08,2025-08-25,4,4,2025-08-25_04
