entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-08-20 12:00:00+00:00,2025-08-20 23:05:00+00:00,-1,19.936964285716385,win,HALF+SL,2025-08,EURJPY
2025-08-21 03:00:00+00:00,2025-08-21 08:42:00+00:00,-1,-17.045357142856687,loss,SL,2025-08,EURJPY
2025-08-21 09:00:00+00:00,2025-08-21 09:11:00+00:00,1,-17.698392857138856,loss,SL,2025-08,EURJPY
2025-08-21 11:00:00+00:00,2025-08-22 17:10:00+00:00,1,54.34964285714159,win,HALF+SL,2025-08,EURJPY
2025-08-22 23:00:00+00:00,2025-08-25 14:47:00+00:00,1,17.646428571433148,win,HALF+SL,2025-08,EURJPY
2025-08-25 15:00:00+00:00,2025-08-25 16:58:00+00:00,1,17.523392857142994,win,HALF+SL,2025-08,EURJPY
2025-08-26 04:00:00+00:00,2025-08-26 06:31:00+00:00,-1,-42.66374999999414,loss,SL,2025-08,EURJPY
2025-08-26 10:00:00+00:00,2025-08-26 12:20:00+00:00,-1,25.976607142857233,win,HALF+SL,2025-08,EURJPY
2025-08-26 15:00:00+00:00,2025-08-26 16:43:00+00:00,-1,-14.174821428574091,loss,SL,2025-08,EURJPY
2025-08-27 02:00:00+00:00,2025-08-27 03:07:00+00:00,-1,6.150892857144186,win,HALF+SL,2025-08,EURJPY
2025-08-27 05:00:00+00:00,2025-08-27 05:55:00+00:00,-1,-11.95035714285666,loss,SL,2025-08,EURJPY
2025-08-27 08:00:00+00:00,2025-08-27 10:29:00+00:00,-1,33.95999999999617,win,HALF+TP,2025-08,EURJPY
2025-08-27 12:00:00+00:00,2025-08-29 19:17:00+00:00,-1,-56.485000000000696,loss,SL,2025-08,EURJPY
2025-08-29 20:00:00+00:00,2025-09-02 08:59:00+00:00,1,147.90500000001146,win,HALF+TP,2025-08,EURJPY
2025-09-02 09:00:00+00:00,2025-09-02 11:19:00+00:00,1,27.99053571428658,win,HALF+SL,2025-09,EURJPY
