entry_time,exit_time,dir,ep,exit_price,result,equity,tf
2025-04-30 22:00:00+00:00,2025-05-01 01:42:00+00:00,1,0.5936899999999999,0.5936899999999999,loss,3532985.4122014907,1h
2025-04-30 23:00:00+00:00,2025-05-01 03:09:00+00:00,1,0.59381,0.59381,loss,3568315.2663235054,1h
2025-05-01 02:00:00+00:00,2025-05-01 02:36:00+00:00,-1,0.5935400000000001,0.5946918928571429,loss,3496323.9784964467,1h
2025-05-01 05:00:00+00:00,2025-05-01 09:36:00+00:00,-1,0.5941500000000001,0.5922316071428572,win,3618242.048592061,1h
2025-05-01 06:00:00+00:00,2025-05-02 02:03:00+00:00,-1,0.59279,0.59279,loss,3654424.4690779815,1h
2025-05-01 10:00:00+00:00,2025-05-02 00:29:00+00:00,-1,0.59167,0.59167,loss,3690968.713768761,1h
2025-05-01 12:00:00+00:00,2025-05-01 15:45:00+00:00,-1,0.5924400000000001,0.5897484821428574,win,3819811.054405276,1h
2025-05-02 12:00:00+00:00,2025-05-02 13:27:00+00:00,1,0.5941099999999999,0.5962711607142854,win,3953064.60617551,1h
2025-05-04 23:00:00+00:00,2025-05-06 00:12:00+00:00,1,0.59575,0.59575,loss,3992595.2522372655,1h
2025-05-05 09:00:00+00:00,2025-05-05 15:56:00+00:00,1,0.59705,0.59705,loss,4032521.2047596383,1h
2025-05-05 12:00:00+00:00,2025-05-05 13:33:00+00:00,1,0.5985499999999999,0.5985499999999999,loss,4072846.4168072348,1h
2025-05-05 22:00:00+00:00,2025-05-06 00:24:00+00:00,-1,0.5966400000000001,0.5948927678571432,win,4214816.600819955,1h
2025-05-06 02:00:00+00:00,2025-05-06 04:07:00+00:00,1,0.5951599999999999,0.5974176785714285,win,4361870.5198090365,1h
2025-05-06 23:00:00+00:00,2025-05-07 01:19:00+00:00,1,0.6011099999999999,0.6011099999999999,loss,4405489.225007127,1h
2025-05-07 00:00:00+00:00,2025-05-07 00:21:00+00:00,1,0.6012299999999999,0.6004300714285714,loss,4316264.0259279115,1h
2025-05-07 15:00:00+00:00,2025-05-07 18:46:00+00:00,-1,0.59836,0.5960390178571425,win,4466870.343509363,1h
2025-05-07 18:00:00+00:00,2025-05-07 18:36:00+00:00,-1,0.59696,0.5978394642857142,loss,4376505.437196845,1h
2025-05-08 05:00:00+00:00,2025-05-08 06:24:00+00:00,-1,0.59672,0.5943752678571428,win,4529218.477469386,1h
2025-05-09 00:00:00+00:00,2025-05-09 02:09:00+00:00,-1,0.5899800000000001,0.5874991964285714,win,4687286.530076187,1h
2025-05-09 17:00:00+00:00,2025-05-11 21:04:00+00:00,-1,0.59125,0.5921817857142857,loss,4592523.798135325,1h
2025-05-09 19:00:00+00:00,2025-05-11 21:04:00+00:00,-1,0.59145,0.59145,loss,4638449.036116678,1h
2025-05-09 20:00:00+00:00,2025-05-11 21:04:00+00:00,-1,0.5913900000000001,0.5913900000000001,loss,4684833.526477845,1h
2025-05-12 13:00:00+00:00,2025-05-12 13:18:00+00:00,-1,0.5877300000000001,0.5884818571428571,loss,4589873.854419877,1h
2025-05-13 11:00:00+00:00,2025-05-13 14:41:00+00:00,1,0.58961,0.5922293750000001,win,4750083.03582047,1h
2025-05-13 18:00:00+00:00,2025-05-14 01:36:00+00:00,1,0.59385,0.59385,loss,4797583.866178675,1h
2025-05-13 23:00:00+00:00,2025-05-14 01:35:00+00:00,1,0.59393,0.59393,loss,4845559.704840462,1h
2025-05-14 13:00:00+00:00,2025-05-14 15:06:00+00:00,-1,0.5942900000000001,0.591605535714286,win,5014704.709806668,1h
2025-05-15 04:00:00+00:00,2025-05-15 05:22:00+00:00,-1,0.5905400000000001,0.5890009821428572,win,5189410.038481391,1h
2025-05-16 00:00:00+00:00,2025-05-16 01:34:00+00:00,-1,0.58723,0.58723,loss,5241304.138866205,1h
2025-05-16 02:00:00+00:00,2025-05-16 03:10:00+00:00,1,0.58727,0.5895064285714285,win,5424166.490738097,1h
2025-05-16 03:00:00+00:00,2025-05-16 12:32:00+00:00,1,0.58905,0.58905,loss,5478408.155645478,1h
2025-05-16 08:00:00+00:00,2025-05-16 09:37:00+00:00,1,0.59141,0.5904259285714286,loss,5367715.1452174885,1h
2025-05-16 09:00:00+00:00,2025-05-16 14:41:00+00:00,-1,0.59079,0.5878304464285714,win,5555133.279500271,1h
2025-05-16 12:00:00+00:00,2025-05-16 14:41:00+00:00,-1,0.58997,0.5879414285714285,win,5748881.691077519,1h
2025-05-16 15:00:00+00:00,2025-05-19 07:33:00+00:00,-1,0.58769,0.59013925,loss,5633432.692558537,1h
2025-05-19 02:00:00+00:00,2025-05-19 02:26:00+00:00,-1,0.58903,0.5897380714285714,loss,5519150.039777755,1h
2025-05-19 07:00:00+00:00,2025-05-20 12:46:00+00:00,1,0.58954,0.58954,loss,5574341.540175532,1h
2025-05-19 09:00:00+00:00,2025-05-19 15:19:00+00:00,1,0.58997,0.5929897321428572,win,5768983.524249584,1h
2025-05-19 12:00:00+00:00,2025-05-19 12:31:00+00:00,1,0.5915699999999999,0.5907618571428571,loss,5652158.252022349,1h
2025-05-19 14:00:00+00:00,2025-05-20 04:30:00+00:00,1,0.59127,0.59127,loss,5708679.8345425725,1h
