entry_time,exit_time,dir,pnl,result,exit_type,month,period,pair
2025-12-24 04:00:00+00:00,2025-12-26 02:53:00+00:00,-1,-66.57285714285592,loss,SL,2025-12,,EURJPY
2025-12-26 04:00:00+00:00,2026-01-05 10:05:00+00:00,1,-83.92571428571216,loss,SL,2025-12,,EURJPY
2026-01-05 12:00:00+00:00,2026-01-05 23:02:00+00:00,-1,47.967142857143585,win,HALF+SL,2026-01,,EURJPY
2026-01-06 08:00:00+00:00,2026-01-06 08:09:00+00:00,-1,-9.172678571425763,loss,SL,2026-01,,EURJPY
2026-01-06 12:00:00+00:00,2026-01-09 04:39:00+00:00,-1,47.56214285714577,win,HALF+SL,2026-01,,EURJPY
2026-01-09 08:00:00+00:00,2026-01-09 15:56:00+00:00,1,15.423571428570426,win,HALF+SL,2026-01,,EURJPY
2026-01-09 17:00:00+00:00,2026-01-13 04:42:00+00:00,1,159.55250000000376,win,HALF+TP,2026-01,,EURJPY
2026-01-13 07:00:00+00:00,2026-01-13 15:00:00+00:00,1,18.106428571428523,win,HALF+SL,2026-01,,EURJPY
2026-01-13 19:00:00+00:00,2026-01-14 10:05:00+00:00,1,13.72607142857305,win,HALF+SL,2026-01,,EURJPY
2026-01-14 16:00:00+00:00,2026-01-14 16:31:00+00:00,-1,49.79187499999966,win,HALF+TP,2026-01,,EURJPY
2026-01-14 17:00:00+00:00,2026-01-19 00:00:00+00:00,-1,176.816249999996,win,HALF+TP,2026-01,,EURJPY
2026-01-19 09:00:00+00:00,2026-01-19 09:25:00+00:00,-1,-25.67553571428789,loss,SL,2026-01,,EURJPY
2026-01-19 11:00:00+00:00,2026-01-19 11:35:00+00:00,-1,14.90892857142967,win,HALF+SL,2026-01,,EURJPY
2026-01-19 12:00:00+00:00,2026-01-19 17:41:00+00:00,-1,-28.235357142858675,loss,SL,2026-01,,EURJPY
2026-01-19 21:00:00+00:00,2026-01-20 02:21:00+00:00,1,6.1555357142879075,win,HALF+SL,2026-01,,EURJPY
2026-01-20 03:00:00+00:00,2026-01-20 06:31:00+00:00,-1,-37.93910714285289,loss,SL,2026-01,,EURJPY
2026-01-20 08:00:00+00:00,2026-01-22 22:49:00+00:00,1,239.90625000000136,win,HALF+TP,2026-01,,EURJPY
2026-01-23 01:00:00+00:00,2026-01-23 04:43:00+00:00,1,13.88857142857205,win,HALF+SL,2026-01,,EURJPY
2026-01-23 06:00:00+00:00,2026-01-23 09:18:00+00:00,1,48.48812499999724,win,HALF+TP,2026-01,,EURJPY
2026-01-23 13:00:00+00:00,2026-01-23 18:21:00+00:00,1,29.52964285714188,win,HALF+SL,2026-01,,EURJPY
2026-01-23 19:00:00+00:00,2026-01-23 21:52:00+00:00,-1,209.59000000000003,win,HALF+TP,2026-01,,EURJPY
2026-01-26 00:00:00+00:00,2026-01-27 05:44:00+00:00,-1,80.91214285714443,win,HALF+SL,2026-01,,EURJPY
2026-01-27 08:00:00+00:00,2026-01-27 09:52:00+00:00,-1,-14.330178571429997,loss,SL,2026-01,,EURJPY
2026-01-27 12:00:00+00:00,2026-01-30 12:00:00+00:00,-1,-104.87160714286006,loss,SL,2026-01,,EURJPY
2026-01-30 18:00:00+00:00,2026-02-02 00:29:00+00:00,-1,-67.45482142856929,loss,SL,2026-01,,EURJPY
2026-02-02 10:00:00+00:00,2026-02-04 05:19:00+00:00,1,166.05437500000448,win,HALF+TP,2026-02,,EURJPY
2026-02-04 09:00:00+00:00,2026-02-04 14:01:00+00:00,1,35.593749999989654,win,HALF+TP,2026-02,,EURJPY
2026-02-04 19:00:00+00:00,2026-02-04 23:37:00+00:00,1,56.74125000000174,win,HALF+TP,2026-02,,EURJPY
