symbol,entry_time,exit_time,dir,ep,sl,tp,exit_price,result,lot,eff_risk,half_pnl,equity_after,pnl_delta,month
US30,2025-04-29 03:00:00+00:00,2025-04-29 16:03:00+00:00,1,40271.5,40147.26196428572,40571.59508928571,40271.5,BE,3.3243637768342227,0.02,30227.950072732187,3053022.957345951,30227.95007273229,2025-04
US30,2025-04-29 21:00:00+00:00,2025-04-30 15:36:00+00:00,1,40615.55,40324.12803571429,41333.60491071429,40324.12803571429,SL,1.4101471316232952,0.02,0.0,2988738.3652054844,-61642.17705442896,2025-04
AUDUSD,2025-04-29 23:00:00+00:00,2025-04-30 00:07:00+00:00,-1,0.638339,0.6390399642857143,0.6365900892857144,0.6390399642857143,SL,434980.0945737327,0.015,0.0,2998969.4852884174,-45735.82669392321,2025-04
AUDUSD,2025-04-30 02:00:00+00:00,2025-04-30 07:31:00+00:00,1,0.6397010000000001,0.6376843928571428,0.644739017857143,0.6397010000000001,BE,148787.40115185652,0.015,22492.27113966313,3021461.7564280806,22492.27113966318,2025-04
EURJPY,2025-04-30 09:00:00+00:00,2025-04-30 13:31:00+00:00,1,162.4401,162.20668214285715,163.01629464285708,162.20668214285715,SL,275968.1229072131,0.015,0.0,4191341.1008198415,-64415.88788873749,2025-04
EURJPY,2025-04-30 15:00:00+00:00,2025-05-01 03:47:00+00:00,-1,162.06189999999998,162.46514642857142,161.06113392857145,162.46514642857142,SL,157901.5488476725,0.015,0.0,4159102.9234372685,-63673.235638721846,2025-05
EURGBP,2025-04-30 15:00:00+00:00,2025-05-02 07:36:00+00:00,-1,0.85114,0.8540177857142857,0.8441205357142858,0.85114,BE,223052.14212571437,0.02,40263.83697456847,4066647.534431415,40263.836974568665,2025-05
US30,2025-05-01 03:00:00+00:00,2025-05-01 11:05:00+00:00,1,40815.5,40709.43803571429,41070.15491071428,40815.5,BE,3.905256764418186,0.02,30186.257488575393,3048812.0063461144,30186.2574885753,2025-05
EURJPY,2025-05-01 04:00:00+00:00,2025-05-02 00:20:00+00:00,1,162.5721,161.80100357142857,164.49249107142856,164.49249107142856,TP,83249.8746350115,0.015,32009.428136671428,4379869.337666173,111945.5861099828,2025-05
AUDUSD,2025-05-02 01:00:00+00:00,2025-05-05 01:20:00+00:00,1,0.640601,0.6379297142857143,0.647275714285714,0.647275714285714,TP,192149.5705713925,0.02,38482.06899771802,3982879.730046021,134672.8302742187,2025-05
US30,2025-05-02 03:00:00+00:00,2025-05-02 03:43:00+00:00,1,40722.5,40628.70125,40946.496875000004,40946.496875000004,TP,4.612683264105652,0.02,31411.94058950408,3250097.9972792487,108903.9383288403,2025-05
US30,2025-05-02 04:00:00+00:00,2025-05-06 11:00:00+00:00,1,41049.0,40661.50482142857,42007.23794642858,41049.0,BE,1.1270528833347349,0.02,32500.979972792484,3282598.977252041,32500.979972792324,2025-05
EURJPY,2025-05-02 19:00:00+00:00,2025-05-05 01:20:00+00:00,1,163.8991,163.55125714285714,164.76135714285712,163.55125714285714,SL,265639.83183471474,0.02,0.0,4499752.803397716,-92400.91807633732,2025-05
EURJPY,2025-05-05 04:00:00+00:00,2025-05-05 07:48:00+00:00,-1,163.5299,163.59929285714287,163.36376785714288,163.36376785714288,TP,1003023.1278139064,0.015,33748.14602548287,4616818.140202688,117065.33680497203,2025-05
USDJPY,2025-05-05 04:00:00+00:00,2025-05-06 12:09:00+00:00,-1,144.2908,144.91819642857143,142.73700892857136,142.73700892857136,TP,25709.285733581393,0.01,8010.967525145387,1630177.9018670458,27984.39683796838,2025-05
EURJPY,2025-05-05 08:00:00+00:00,2025-05-05 10:58:00+00:00,-1,163.3269,163.5537642857143,162.7670892857143,163.3269,BE,439957.8650661788,0.02,49443.40764299104,4993784.171942095,49443.40764299128,2025-05
AUDUSD,2025-05-05 12:00:00+00:00,2025-05-05 12:25:00+00:00,1,0.648401,0.6480325357142857,0.6493186607142858,0.6493186607142858,TP,1465329.6155074905,0.02,40384.22253738799,4179657.132898492,141234.87915969174,2025-05
EURGBP,2025-05-05 13:00:00+00:00,2025-05-05 16:14:00+00:00,1,0.85221,0.8513808928571429,0.8541077678571428,0.8513808928571429,SL,568820.2224429089,0.015,0.0,3716468.248929084,-60286.98563167127,2025-05
EURGBP,2025-05-05 17:00:00+00:00,2025-05-06 04:57:00+00:00,-1,0.85141,0.8522916428571429,0.8493808928571428,0.85141,BE,349915.80507321766,0.01,18582.34124464542,3735050.590173729,18582.341244645417,2025-05
EURJPY,2025-05-06 11:00:00+00:00,2025-05-06 12:57:00+00:00,-1,162.0239,162.19460714285714,161.6044821428572,161.6044821428572,TP,619162.5597797774,0.02,52197.615084286605,5401803.0405358905,182041.53210723028,2025-05
US30,2025-05-06 11:00:00+00:00,2025-05-06 17:20:00+00:00,-1,41052.6,41210.10357142857,40669.34107142857,41052.6,BE,3.35300658189966,0.02,38853.861894524845,3924240.05134701,38853.861894524656,2025-05
AUDUSD,2025-05-06 13:00:00+00:00,2025-05-06 22:10:00+00:00,1,0.646891,0.6452327499999999,0.6510331250000001,0.6510331250000001,TP,326171.73613662197,0.02,40541.10822843259,4195980.238762562,141869.41591930343,2025-05
USDJPY,2025-05-06 14:00:00+00:00,2025-05-07 08:19:00+00:00,-1,142.4678,143.39843392857142,140.1559151785715,143.39843392857142,SL,16975.541476772432,0.01,0.0,1556873.7431411692,-15798.014854155714,2025-05
AUDUSD,2025-05-06 23:00:00+00:00,2025-05-07 01:22:00+00:00,1,0.650841,0.6488951785714285,0.6557020535714286,0.6488951785714285,SL,290545.2726158099,0.02,0.0,4153137.6585362907,-84802.38261389732,2025-05
EURGBP,2025-05-07 04:00:00+00:00,2025-05-07 08:44:00+00:00,1,0.85017,0.8493628214285714,0.8520129464285713,0.8520129464285713,TP,601193.2200747464,0.015,29025.481185405934,3969736.6555533772,99672.49749925267,2025-05
EURJPY,2025-05-07 11:00:00+00:00,2025-05-07 17:52:00+00:00,1,162.81810000000002,162.6054,163.3425,162.6054,SL,497390.81077322544,0.02,0.0,5131730.211990579,-105795.0254514711,2025-05
EURGBP,2025-05-07 12:00:00+00:00,2025-05-07 16:26:00+00:00,-1,0.85081,0.8519743214285714,0.8480741964285712,0.85081,BE,558286.808465641,0.02,39697.36655553377,4009434.022108911,39697.36655553384,2025-05
AUDUSD,2025-05-07 18:00:00+00:00,2025-05-08 01:47:00+00:00,-1,0.645199,0.6466944642857142,0.6414638392857145,0.645199,BE,370535.2433632774,0.02,41531.376585362916,4194669.035121653,41531.37658536248,2025-05
EURGBP,2025-05-08 00:00:00+00:00,2025-05-08 02:30:00+00:00,-1,0.85042,0.8511307142857143,0.8488182142857141,0.8488182142857141,TP,697589.3902474556,0.015,29397.35740501203,4020313.7400344405,100666.08603283623,2025-05
US30,2025-05-08 02:00:00+00:00,2025-05-08 06:11:00+00:00,1,41088.1,41005.15660714285,41284.95848214286,41284.95848214286,TP,6.545031279586256,0.02,39242.40051347009,4060115.8211062467,135875.76975923683,2025-05
EURJPY,2025-05-08 05:00:00+00:00,2025-05-08 08:05:00+00:00,1,162.7281,162.55324285714286,163.15789285714283,163.15789285714283,TP,620939.8562186548,0.02,53635.89772322801,5550663.427505061,187073.6551822601,2025-05
USDJPY,2025-05-08 08:00:00+00:00,2025-05-12 07:00:00+00:00,1,144.3272,143.4857375,146.41615625000003,146.41615625000003,TP,18221.43906351363,0.01,7628.063811957617,1552272.7207113418,26659.95831981837,2025-05
