entry_time,exit_time,dir,pnl,result,exit_type,month
2025-11-26 17:00:00+00:00,2025-11-27 02:00:00+00:00,-1,57.09428571428248,win,HALF+TP,2025-11
2025-11-27 13:00:00+00:00,2025-11-28 02:45:00+00:00,-1,-14.344642857142276,loss,SL,2025-11
2025-11-28 07:00:00+00:00,2025-12-01 14:00:00+00:00,-1,148.84000000000128,win,HALF+TP,2025-11
2025-12-02 01:00:00+00:00,2025-12-02 01:45:00+00:00,-1,-9.355357142857201,loss,SL,2025-12
2025-12-02 06:00:00+00:00,2025-12-02 08:15:00+00:00,-1,-16.14214285714013,loss,SL,2025-12
2025-12-05 01:00:00+00:00,2025-12-05 02:00:00+00:00,-1,-11.347857142854423,loss,SL,2025-12
2025-12-08 07:00:00+00:00,2025-12-08 10:15:00+00:00,-1,-32.594285714284865,loss,SL,2025-12
2025-12-10 15:00:00+00:00,2025-12-10 15:45:00+00:00,1,-15.282142857145686,loss,SL,2025-12
2025-12-12 02:00:00+00:00,2025-12-12 02:30:00+00:00,-1,-19.84571428571371,loss,SL,2025-12
2025-12-12 17:00:00+00:00,2025-12-15 06:30:00+00:00,-1,95.06428571426682,win,HALF+TP,2025-12
2025-12-17 04:00:00+00:00,2025-12-17 04:45:00+00:00,-1,-28.272142857142057,loss,SL,2025-12
2025-12-17 06:00:00+00:00,2025-12-17 06:15:00+00:00,-1,-17.79482142857205,loss,SL,2025-12
2025-12-18 15:00:00+00:00,2025-12-18 15:30:00+00:00,1,-42.07678571428346,loss,SL,2025-12
2025-12-18 23:00:00+00:00,2025-12-19 05:15:00+00:00,1,34.02964285714347,win,HALF+SL,2025-12
2025-12-22 23:00:00+00:00,2025-12-23 02:45:00+00:00,1,-30.829642857142403,loss,SL,2025-12
2025-12-30 02:00:00+00:00,2025-12-30 02:45:00+00:00,-1,-27.303928571427605,loss,SL,2025-12
2025-12-30 04:00:00+00:00,2025-12-30 12:30:00+00:00,-1,53.788571428577825,win,HALF+TP,2025-12
