dir,entry,exit,entry_time,exit_time,pnl,reason,pyramids
short,1.5801866666666669,1.59008,2026-01-22 14:54:00,2026-01-22 23:51:00,-9.893333333333088,SL,2
short,1.5802900000000002,1.5904399999999999,2026-01-23 01:14:00,2026-01-23 01:18:00,-10.14999999999966,SL,1
short,1.5809400000000002,1.59093,2026-01-23 04:20:00,2026-01-23 05:39:00,-9.989999999999721,SL,2
long,1.58886,1.57841,2026-01-23 08:17:00,2026-01-23 08:41:00,-10.449999999999848,SL,1
long,1.584895,1.57465,2026-01-23 09:29:00,2026-01-23 09:42:00,-10.244999999999838,SL,1
long,1.5851133333333332,1.5752000000000002,2026-01-23 09:44:00,2026-01-23 16:19:00,-9.913333333332996,SL,2
long,1.5667499999999999,1.5516300000000003,2026-01-23 18:58:00,2026-01-23 21:12:00,-15.119999999999578,SL,0
long,1.5624799999999999,1.5526300000000002,2026-01-23 21:31:00,2026-01-23 21:41:00,-9.849999999999692,SL,2
long,1.5522649999999998,1.5417800000000002,2026-01-26 01:03:00,2026-01-26 01:09:00,-10.484999999999634,SL,1
long,1.5533449999999998,1.5427300000000002,2026-01-26 01:11:00,2026-01-26 01:20:00,-10.614999999999597,SL,1
long,1.54725,1.53709,2026-01-26 03:36:00,2026-01-26 03:57:00,-10.159999999999947,SL,1
long,1.547225,1.5370400000000002,2026-01-26 03:58:00,2026-01-26 04:04:00,-10.184999999999889,SL,1
long,1.5454149999999998,1.53522,2026-01-26 04:57:00,2026-01-26 05:08:00,-10.194999999999732,SL,1
long,1.5451,1.53512,2026-01-26 05:29:00,2026-01-26 05:51:00,-9.979999999999878,SL,2
long,1.5428666666666666,1.53289,2026-01-26 09:58:00,2026-01-26 10:19:00,-9.976666666666523,SL,2
long,1.5410199999999998,1.54065,2026-01-26 11:12:00,2026-01-27 04:43:00,-0.3699999999997594,TP,2
long,1.5518266666666667,1.54194,2026-01-27 05:03:00,2026-01-27 08:00:00,-9.8866666666666,SL,2
long,1.5417899999999998,1.53132,2026-01-27 11:34:00,2026-01-27 11:55:00,-10.469999999999757,SL,1
long,1.53877,1.5285600000000001,2026-01-27 12:55:00,2026-01-27 13:34:00,-10.20999999999983,SL,1
long,1.53758,1.5271100000000002,2026-01-27 13:51:00,2026-01-27 14:21:00,-10.469999999999757,SL,1
long,1.5362149999999999,1.5260200000000002,2026-01-27 16:53:00,2026-01-27 17:19:00,-10.194999999999732,SL,1
long,1.5330599999999999,1.52286,2026-01-27 18:24:00,2026-01-27 19:04:00,-10.199999999999765,SL,1
long,1.533045,1.52288,2026-01-27 19:05:00,2026-01-27 19:20:00,-10.16499999999998,SL,1
long,1.532835,1.5226600000000001,2026-01-27 19:40:00,2026-01-27 19:51:00,-10.174999999999823,SL,1
long,1.5290499999999998,1.51879,2026-01-27 21:37:00,2026-01-27 23:17:00,-10.259999999999714,SL,1
long,1.5319466666666666,1.52208,2026-01-28 00:57:00,2026-01-28 03:22:00,-9.866666666666468,SL,2
long,1.53202,1.522,2026-01-28 03:32:00,2026-01-28 03:46:00,-10.019999999999918,SL,2
long,1.5319399999999999,1.52176,2026-01-28 06:08:00,2026-01-28 06:26:00,-10.179999999999856,SL,1
long,1.5315566666666667,1.5216200000000002,2026-01-28 06:38:00,2026-01-28 06:56:00,-9.936666666666483,SL,2
long,1.531895,1.52167,2026-01-28 09:53:00,2026-01-28 10:01:00,-10.224999999999929,SL,1
long,1.5321399999999998,1.52191,2026-01-28 10:04:00,2026-01-28 13:44:00,-10.22999999999974,SL,1
long,1.5412666666666663,1.53133,2026-01-28 17:01:00,2026-01-28 17:25:00,-9.93666666666626,SL,2
long,1.5386749999999998,1.52854,2026-01-28 20:45:00,2026-01-28 21:02:00,-10.134999999999783,SL,1
long,1.53878,1.52879,2026-01-28 21:07:00,2026-01-28 21:38:00,-9.989999999999943,SL,2
long,1.538973333333333,1.52896,2026-01-28 22:23:00,2026-01-28 23:00:00,-10.013333333332985,SL,2
long,1.53871,1.52858,2026-01-28 23:05:00,2026-01-28 23:18:00,-10.129999999999972,SL,1
