time,dir,ep,sl,tp,risk,tf,pattern,entry_time,half_closed,wall_tp,next_h4_time,exit_time,exit_price,pnl,type
2024-10-07 11:00:00+00:00,1,148.63500000000002,148.63500000000002,149.84134821428583,0.48253928571432425,1h,double_bottom,2024-10-07 11:00:00+00:00,True,149.001,2024-11-03 20:00:00+00:00,2024-11-03 22:00:00+00:00,149.001,36.599999999998545,SWING_TP
2024-11-04 03:00:00+00:00,1,151.816,151.6509714285714,152.22857142857148,0.16502857142859284,1h,double_bottom,2024-11-04 03:00:00+00:00,False,152.519,2024-11-04 04:00:00+00:00,2024-11-04 03:01:00+00:00,151.6509714285714,-16.502857142859284,SL
2024-11-04 07:00:00+00:00,1,152.145,151.75234642857143,153.12663392857147,0.3926535714285819,1h,double_bottom,2024-11-04 07:00:00+00:00,False,152.519,2024-11-04 08:00:00+00:00,2024-11-04 10:00:00+00:00,151.75234642857143,-39.26535714285819,SL
2024-11-04 13:00:00+00:00,1,151.80800000000002,151.47975714285715,152.6286071428572,0.32824285714286816,1h,double_bottom,2024-11-04 13:00:00+00:00,False,152.519,2024-11-04 16:00:00+00:00,2024-11-04 16:00:00+00:00,152.1362428571429,32.824285714286816,HALF_TP
2024-11-04 13:00:00+00:00,1,151.80800000000002,151.80800000000002,152.6286071428572,0.32824285714286816,1h,double_bottom,2024-11-04 13:00:00+00:00,True,152.519,2024-11-04 16:00:00+00:00,2024-11-04 16:00:00+00:00,151.989,18.099999999998317,H4_EXPIRE
2024-11-04 20:00:00+00:00,1,152.14600000000002,151.9443107142857,152.6502232142858,0.2016892857143091,1h,double_bottom,2024-11-04 20:00:00+00:00,False,152.519,2024-11-05 00:00:00+00:00,2024-11-05 00:00:00+00:00,152.34768928571432,20.16892857143091,HALF_TP
2024-11-04 20:00:00+00:00,1,152.14600000000002,152.14600000000002,152.6502232142858,0.2016892857143091,1h,double_bottom,2024-11-04 20:00:00+00:00,True,152.519,2024-11-05 00:00:00+00:00,2024-11-05 00:00:00+00:00,152.14600000000002,0.0,SL
2024-11-05 01:00:00+00:00,1,152.28,152.064175,152.8195625,0.21582499999999527,1h,double_bottom,2024-11-05 01:00:00+00:00,False,152.519,2024-11-05 04:00:00+00:00,2024-11-05 05:00:00+00:00,152.495825,21.582499999999527,HALF_TP
2024-11-05 01:00:00+00:00,1,152.28,152.28,152.8195625,0.21582499999999527,1h,double_bottom,2024-11-05 01:00:00+00:00,True,152.519,2024-11-05 04:00:00+00:00,2024-11-05 05:00:00+00:00,152.519,23.900000000000432,SWING_TP
2024-11-05 13:00:00+00:00,1,152.292,152.05096785714284,152.8945803571429,0.2410321428571649,1h,double_bottom,2024-11-05 13:00:00+00:00,False,152.57,2024-11-05 16:00:00+00:00,2024-11-05 13:01:00+00:00,152.05096785714284,-24.10321428571649,SL
2024-11-05 16:00:00+00:00,1,152.044,151.73664642857145,152.81238392857142,0.307353571428564,1h,double_bottom,2024-11-05 16:00:00+00:00,False,152.57,2024-11-05 20:00:00+00:00,2024-11-05 17:00:00+00:00,151.73664642857145,-30.7353571428564,SL
2024-11-05 21:00:00+00:00,1,151.52800000000002,151.29112500000002,152.12018750000001,0.23687499999999773,1h,double_bottom,2024-11-05 21:00:00+00:00,False,152.57,2024-11-06 00:00:00+00:00,2024-11-05 23:00:00+00:00,151.76487500000002,23.687499999999773,HALF_TP
2024-11-05 21:00:00+00:00,1,151.52800000000002,151.52800000000002,152.12018750000001,0.23687499999999773,1h,double_bottom,2024-11-05 21:00:00+00:00,True,152.57,2024-11-06 00:00:00+00:00,2024-11-05 23:00:00+00:00,151.52800000000002,0.0,SL
2024-11-06 01:00:00+00:00,1,152.917,151.20447142857142,157.19832142857143,1.712528571428578,1h,double_bottom,2024-11-06 01:00:00+00:00,False,154.334,2024-11-06 04:00:00+00:00,2024-11-06 16:00:00+00:00,154.62952857142858,171.2528571428578,HALF_TP
2024-11-06 01:00:00+00:00,1,152.917,152.917,157.19832142857143,1.712528571428578,1h,double_bottom,2024-11-06 01:00:00+00:00,True,154.334,2024-11-06 04:00:00+00:00,2024-11-06 16:00:00+00:00,154.334,141.70000000000016,SWING_TP
2024-11-06 20:00:00+00:00,1,154.44400000000002,154.30251428571427,154.7977142857144,0.14148571428574996,1h,double_bottom,2024-11-06 20:00:00+00:00,False,154.71,2024-11-07 00:00:00+00:00,2024-11-06 21:00:00+00:00,154.58548571428577,14.148571428574996,HALF_TP
2024-11-06 20:00:00+00:00,1,154.44400000000002,154.44400000000002,154.7977142857144,0.14148571428574996,1h,double_bottom,2024-11-06 20:00:00+00:00,True,154.71,2024-11-07 00:00:00+00:00,2024-11-06 23:00:00+00:00,154.44400000000002,0.0,SL
2024-11-07 01:00:00+00:00,1,154.58100000000002,154.17219285714287,155.60301785714287,0.4088071428571425,1h,double_bottom,2024-11-07 01:00:00+00:00,False,154.71,2024-11-07 04:00:00+00:00,2024-11-07 04:00:00+00:00,154.17219285714287,-40.88071428571425,SL
