time,dir,ep,sl,tp,risk,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-08-05 17:00:00+00:00,-1,144.167,144.74592857142858,142.71967857142857,0.5789285714285768,2024-08-05 17:00:00+00:00,False,2024-08-05 18:00:00+00:00,143.58807142857142,57.89285714285768,HALF_TP
2024-08-05 17:00:00+00:00,-1,144.167,144.167,142.71967857142857,0.5789285714285768,2024-08-05 17:00:00+00:00,True,2024-08-05 20:00:00+00:00,144.167,-0.0,SL
2024-08-05 21:00:00+00:00,-1,144.171,144.3327,143.76675,0.16169999999999618,2024-08-05 21:00:00+00:00,False,2024-08-05 21:01:00+00:00,144.0093,16.169999999999618,HALF_TP
2024-08-05 21:00:00+00:00,-1,144.171,144.171,143.76675,0.16169999999999618,2024-08-05 21:00:00+00:00,True,2024-08-05 21:01:00+00:00,144.171,-0.0,SL
2024-08-05 21:15:00+00:00,-1,144.171,144.35017142857143,143.72307142857142,0.1791714285714363,2024-08-05 21:15:00+00:00,False,2024-08-05 21:16:00+00:00,143.99182857142856,17.91714285714363,HALF_TP
2024-08-05 21:15:00+00:00,-1,144.171,144.171,143.72307142857142,0.1791714285714363,2024-08-05 21:15:00+00:00,True,2024-08-05 21:16:00+00:00,144.171,-0.0,SL
2024-08-05 23:00:00+00:00,-1,144.755,144.91584285714288,144.3528928571428,0.1608428571428817,2024-08-05 23:00:00+00:00,False,2024-08-05 23:01:00+00:00,144.91584285714288,-16.08428571428817,SL
2024-08-05 23:15:00+00:00,-1,144.755,145.60224285714287,142.6368928571428,0.8472428571428736,2024-08-05 23:15:00+00:00,False,2024-08-05 23:16:00+00:00,145.60224285714287,-84.72428571428736,SL
2024-08-05 23:45:00+00:00,-1,144.755,145.5362142857143,142.80196428571423,0.7812142857142987,2024-08-05 23:45:00+00:00,False,2024-08-05 23:46:00+00:00,145.5362142857143,-78.12142857142987,SL
2024-08-06 00:15:00+00:00,-1,145.78799999999998,146.44214285714287,144.15264285714278,0.6541428571428867,2024-08-06 00:15:00+00:00,False,2024-08-06 00:16:00+00:00,145.1338571428571,65.41428571428867,HALF_TP
2024-08-06 00:15:00+00:00,-1,145.78799999999998,145.78799999999998,144.15264285714278,0.6541428571428867,2024-08-06 00:15:00+00:00,True,2024-08-06 00:16:00+00:00,145.78799999999998,-0.0,SL
2024-08-06 00:45:00+00:00,-1,145.78799999999998,145.86064285714284,145.60639285714285,0.07264285714285279,2024-08-06 00:45:00+00:00,False,2024-08-06 00:46:00+00:00,145.71535714285713,7.264285714285279,HALF_TP
2024-08-06 00:45:00+00:00,-1,145.78799999999998,145.78799999999998,145.60639285714285,0.07264285714285279,2024-08-06 00:45:00+00:00,True,2024-08-06 00:46:00+00:00,145.78799999999998,-0.0,SL
2024-08-06 01:15:00+00:00,-1,145.03799999999998,145.58971428571428,143.65871428571424,0.5517142857142971,2024-08-06 01:15:00+00:00,False,2024-08-06 01:16:00+00:00,144.48628571428569,55.171428571429715,HALF_TP
2024-08-06 01:15:00+00:00,-1,145.03799999999998,145.03799999999998,143.65871428571424,0.5517142857142971,2024-08-06 01:15:00+00:00,True,2024-08-06 01:16:00+00:00,145.03799999999998,-0.0,SL
2024-08-06 01:30:00+00:00,-1,145.03799999999998,145.56718571428573,143.71503571428562,0.5291857142857452,2024-08-06 01:30:00+00:00,False,2024-08-06 01:31:00+00:00,144.50881428571424,52.91857142857452,HALF_TP
2024-08-06 01:30:00+00:00,-1,145.03799999999998,145.03799999999998,143.71503571428562,0.5291857142857452,2024-08-06 01:30:00+00:00,True,2024-08-06 01:31:00+00:00,145.03799999999998,-0.0,SL
2024-08-06 03:45:00+00:00,-1,145.295,146.01434285714285,143.49664285714283,0.7193428571428626,2024-08-06 03:45:00+00:00,False,2024-08-06 05:00:00+00:00,146.01434285714285,-71.93428571428626,SL
2024-08-06 06:15:00+00:00,-1,145.83499999999998,146.2214,144.86899999999997,0.38640000000000896,2024-08-06 06:15:00+00:00,False,2024-08-06 06:16:00+00:00,145.44859999999997,38.640000000000896,HALF_TP
2024-08-06 06:15:00+00:00,-1,145.83499999999998,145.83499999999998,144.86899999999997,0.38640000000000896,2024-08-06 06:15:00+00:00,True,2024-08-06 06:16:00+00:00,145.83499999999998,-0.0,SL
2024-08-06 06:30:00+00:00,-1,145.83499999999998,146.3655,144.50874999999994,0.5305000000000177,2024-08-06 06:30:00+00:00,False,2024-08-06 07:00:00+00:00,145.30449999999996,53.05000000000177,HALF_TP
2024-08-06 06:30:00+00:00,-1,145.83499999999998,145.83499999999998,144.50874999999994,0.5305000000000177,2024-08-06 06:30:00+00:00,True,2024-08-06 07:00:00+00:00,145.83499999999998,-0.0,SL
2024-08-06 07:15:00+00:00,-1,145.631,146.01662857142856,144.66692857142863,0.3856285714285548,2024-08-06 07:15:00+00:00,False,2024-08-06 07:16:00+00:00,145.24537142857145,38.56285714285548,HALF_TP
2024-08-06 07:15:00+00:00,-1,145.631,145.631,144.66692857142863,0.3856285714285548,2024-08-06 07:15:00+00:00,True,2024-08-06 07:16:00+00:00,145.631,-0.0,SL
2024-08-06 09:00:00+00:00,-1,144.905,145.2685,143.99625000000003,0.3634999999999877,2024-08-06 09:00:00+00:00,False,2024-08-06 09:01:00+00:00,144.5415,36.34999999999877,HALF_TP
2024-08-06 09:00:00+00:00,-1,144.905,144.905,143.99625000000003,0.3634999999999877,2024-08-06 09:00:00+00:00,True,2024-08-06 09:01:00+00:00,144.905,-0.0,SL
2024-08-06 10:15:00+00:00,-1,144.74099999999999,144.97724285714287,144.15039285714278,0.23624285714288362,2024-08-06 10:15:00+00:00,False,2024-08-06 10:16:00+00:00,144.5047571428571,23.624285714288362,HALF_TP
2024-08-06 10:15:00+00:00,-1,144.74099999999999,144.74099999999999,144.15039285714278,0.23624285714288362,2024-08-06 10:15:00+00:00,True,2024-08-06 10:16:00+00:00,144.74099999999999,-0.0,SL
2024-08-06 10:45:00+00:00,-1,144.74099999999999,145.19842857142856,143.59742857142854,0.4574285714285793,2024-08-06 10:45:00+00:00,False,2024-08-06 11:00:00+00:00,145.19842857142856,-45.74285714285793,SL
2024-08-06 11:15:00+00:00,-1,144.90699999999998,145.30794285714285,143.90464285714282,0.4009428571428657,2024-08-06 11:15:00+00:00,False,2024-08-06 11:16:00+00:00,145.30794285714285,-40.09428571428657,SL
2024-09-01 22:15:00+00:00,-1,146.114,146.30780000000001,145.62949999999998,0.1938000000000102,2024-09-01 22:15:00+00:00,False,2024-09-01 22:16:00+00:00,146.30780000000001,-19.38000000000102,SL
2024-09-01 23:15:00+00:00,-1,146.439,146.61611428571427,145.9962142857143,0.177114285714282,2024-09-01 23:15:00+00:00,False,2024-09-02 00:00:00+00:00,146.2618857142857,17.7114285714282,HALF_TP
2024-09-01 23:15:00+00:00,-1,146.439,146.439,145.9962142857143,0.177114285714282,2024-09-01 23:15:00+00:00,True,2024-09-02 00:00:00+00:00,146.439,-0.0,SL
2024-09-02 00:15:00+00:00,-1,146.396,146.56767142857143,145.9668214285714,0.17167142857144313,2024-09-02 00:15:00+00:00,False,2024-09-02 00:16:00+00:00,146.22432857142854,17.167142857144313,HALF_TP
2024-09-02 00:15:00+00:00,-1,146.396,146.396,145.9668214285714,0.17167142857144313,2024-09-02 00:15:00+00:00,True,2024-09-02 00:16:00+00:00,146.396,-0.0,SL
2024-09-02 00:30:00+00:00,-1,146.396,146.45747142857144,146.24232142857136,0.06147142857145127,2024-09-02 00:30:00+00:00,False,2024-09-02 00:31:00+00:00,146.33452857142854,6.147142857145127,HALF_TP
2024-09-02 00:30:00+00:00,-1,146.396,146.396,146.24232142857136,0.06147142857145127,2024-09-02 00:30:00+00:00,True,2024-09-02 00:31:00+00:00,146.396,-0.0,SL
2024-09-02 01:00:00+00:00,-1,146.188,146.34947142857143,145.7843214285714,0.16147142857144559,2024-09-02 01:00:00+00:00,False,2024-09-02 02:00:00+00:00,146.02652857142854,16.14714285714456,HALF_TP
2024-09-02 01:00:00+00:00,-1,146.188,146.188,145.7843214285714,0.16147142857144559,2024-09-02 01:00:00+00:00,True,2024-09-02 02:00:00+00:00,146.188,-0.0,SL
2024-09-02 02:30:00+00:00,-1,146.212,146.2798857142857,146.0422857142857,0.06788571428572254,2024-09-02 02:30:00+00:00,False,2024-09-02 02:31:00+00:00,146.14411428571427,6.788571428572254,HALF_TP
2024-09-02 02:30:00+00:00,-1,146.212,146.212,146.0422857142857,0.06788571428572254,2024-09-02 02:30:00+00:00,True,2024-09-02 02:31:00+00:00,146.212,-0.0,SL
2024-09-02 04:00:00+00:00,-1,145.946,146.0183142857143,145.76521428571425,0.07231428571429888,2024-09-02 04:00:00+00:00,False,2024-09-02 04:01:00+00:00,145.8736857142857,7.231428571429888,HALF_TP
2024-09-02 04:00:00+00:00,-1,145.946,145.946,145.76521428571425,0.07231428571429888,2024-09-02 04:00:00+00:00,True,2024-09-02 04:01:00+00:00,145.946,-0.0,SL
2024-09-02 04:45:00+00:00,-1,145.946,145.96237142857143,145.90507142857143,0.016371428571432034,2024-09-02 04:45:00+00:00,False,2024-09-02 04:46:00+00:00,145.92962857142857,1.6371428571432034,HALF_TP
2024-09-02 04:45:00+00:00,-1,145.946,145.946,145.90507142857143,0.016371428571432034,2024-09-02 04:45:00+00:00,True,2024-09-02 04:46:00+00:00,145.946,-0.0,SL
2024-09-02 05:30:00+00:00,-1,145.927,146.19384285714287,145.2598928571428,0.26684285714287626,2024-09-02 05:30:00+00:00,False,2024-09-02 05:31:00+00:00,146.19384285714287,-26.684285714287626,SL
2024-09-02 05:45:00+00:00,-1,145.927,146.23584285714287,145.15489285714278,0.30884285714287785,2024-09-02 05:45:00+00:00,False,2024-09-02 06:00:00+00:00,146.23584285714287,-30.884285714287785,SL
2024-09-02 07:30:00+00:00,-1,146.14499999999998,146.32985714285715,145.68285714285707,0.1848571428571688,2024-09-02 07:30:00+00:00,False,2024-09-02 07:31:00+00:00,146.32985714285715,-18.48571428571688,SL
2024-09-02 07:45:00+00:00,-1,146.14499999999998,146.40201428571427,145.50246428571427,0.2570142857142912,2024-09-02 07:45:00+00:00,False,2024-09-02 07:46:00+00:00,146.40201428571427,-25.70142857142912,SL
2024-09-02 08:15:00+00:00,-1,146.468,146.67464285714286,145.95139285714282,0.20664285714286734,2024-09-02 08:15:00+00:00,False,2024-09-02 08:16:00+00:00,146.67464285714286,-20.664285714286734,SL
2024-09-02 08:45:00+00:00,-1,146.468,146.87342857142858,145.45442857142854,0.4054285714285868,2024-09-02 08:45:00+00:00,False,2024-09-02 11:00:00+00:00,146.87342857142858,-40.54285714285868,SL
2024-09-02 13:30:00+00:00,-1,146.976,147.1916285714286,146.4369285714285,0.2156285714285957,2024-09-02 13:30:00+00:00,False,2024-09-02 23:00:00+00:00,146.7603714285714,21.56285714285957,HALF_TP
2024-09-02 13:30:00+00:00,-1,146.976,146.976,146.4369285714285,0.2156285714285957,2024-09-02 13:30:00+00:00,True,2024-09-03 00:00:00+00:00,146.976,-0.0,SL
2024-09-03 00:15:00+00:00,-1,146.742,146.8984142857143,146.3509642857142,0.15641428571430538,2024-09-03 00:15:00+00:00,False,2024-09-03 00:16:00+00:00,146.8984142857143,-15.641428571430538,SL
2024-09-03 00:45:00+00:00,-1,146.742,147.16424285714285,145.68639285714283,0.42224285714286225,2024-09-03 00:45:00+00:00,False,2024-09-03 00:46:00+00:00,147.16424285714285,-42.224285714286225,SL
2024-09-03 01:00:00+00:00,-1,147.118,147.23181428571428,146.83346428571429,0.11381428571428387,2024-09-03 01:00:00+00:00,False,2024-09-03 01:01:00+00:00,147.0041857142857,11.381428571428387,HALF_TP
2024-09-03 01:00:00+00:00,-1,147.118,147.118,146.83346428571429,0.11381428571428387,2024-09-03 01:00:00+00:00,True,2024-09-03 01:01:00+00:00,147.118,-0.0,SL
2024-09-03 01:30:00+00:00,-1,147.118,147.15905714285714,147.01535714285714,0.04105714285714157,2024-09-03 01:30:00+00:00,False,2024-09-03 01:31:00+00:00,147.07694285714285,4.105714285714157,HALF_TP
2024-09-03 01:30:00+00:00,-1,147.118,147.118,147.01535714285714,0.04105714285714157,2024-09-03 01:30:00+00:00,True,2024-09-03 01:31:00+00:00,147.118,-0.0,SL
2024-09-03 02:00:00+00:00,-1,146.611,146.92825714285715,145.8178571428571,0.31725714285715867,2024-09-03 02:00:00+00:00,False,2024-09-03 05:00:00+00:00,146.29374285714283,31.725714285715867,HALF_TP
2024-09-03 02:00:00+00:00,-1,146.611,146.611,145.8178571428571,0.31725714285715867,2024-09-03 02:00:00+00:00,True,2024-09-03 08:00:00+00:00,145.8178571428571,79.31428571428967,TP
2024-09-03 08:15:00+00:00,-1,145.94199999999998,146.05537142857142,145.65857142857138,0.11337142857144045,2024-09-03 08:15:00+00:00,False,2024-09-03 08:16:00+00:00,145.82862857142854,11.337142857144045,HALF_TP
2024-09-03 08:15:00+00:00,-1,145.94199999999998,145.94199999999998,145.65857142857138,0.11337142857144045,2024-09-03 08:15:00+00:00,True,2024-09-03 08:16:00+00:00,145.94199999999998,-0.0,SL
2024-09-03 09:00:00+00:00,-1,145.808,145.90995714285717,145.55310714285707,0.10195714285717372,2024-09-03 09:00:00+00:00,False,2024-09-03 09:01:00+00:00,145.90995714285717,-10.195714285717372,SL
2024-09-03 09:15:00+00:00,-1,145.808,145.94221428571427,145.4724642857143,0.13421428571427896,2024-09-03 09:15:00+00:00,False,2024-09-03 09:16:00+00:00,145.94221428571427,-13.421428571427896,SL
2024-09-03 09:30:00+00:00,-1,145.808,145.9701714285714,145.40257142857146,0.16217142857141198,2024-09-03 09:30:00+00:00,False,2024-09-03 09:31:00+00:00,145.9701714285714,-16.217142857141198,SL
2024-09-03 12:00:00+00:00,-1,146.165,146.26075714285713,145.92560714285713,0.09575714285713843,2024-09-03 12:00:00+00:00,False,2024-09-03 12:01:00+00:00,146.06924285714285,9.575714285713843,HALF_TP
2024-09-03 12:00:00+00:00,-1,146.165,146.165,145.92560714285713,0.09575714285713843,2024-09-03 12:00:00+00:00,True,2024-09-03 12:01:00+00:00,146.165,-0.0,SL
2024-09-03 12:30:00+00:00,-1,146.165,146.31151428571428,145.79871428571425,0.14651428571428937,2024-09-03 12:30:00+00:00,False,2024-09-03 12:31:00+00:00,146.0184857142857,14.651428571428937,HALF_TP
2024-09-03 12:30:00+00:00,-1,146.165,146.165,145.79871428571425,0.14651428571428937,2024-09-03 12:30:00+00:00,True,2024-09-03 12:31:00+00:00,146.165,-0.0,SL
2024-09-03 13:00:00+00:00,-1,145.878,146.02895714285714,145.50060714285712,0.1509571428571519,2024-09-03 13:00:00+00:00,False,2024-09-03 13:01:00+00:00,145.72704285714283,15.09571428571519,HALF_TP
2024-09-03 13:00:00+00:00,-1,145.878,145.878,145.50060714285712,0.1509571428571519,2024-09-03 13:00:00+00:00,True,2024-09-03 13:01:00+00:00,145.878,-0.0,SL
2024-09-03 14:15:00+00:00,-1,145.404,145.70574285714287,144.64964285714282,0.3017428571428695,2024-09-03 14:15:00+00:00,False,2024-09-03 15:00:00+00:00,145.70574285714287,-30.174285714286952,SL
2024-09-03 16:00:00+00:00,-1,145.81699999999998,145.97017142857143,145.43407142857134,0.15317142857145427,2024-09-03 16:00:00+00:00,False,2024-09-03 19:00:00+00:00,145.66382857142852,15.317142857145427,HALF_TP
2024-09-03 16:00:00+00:00,-1,145.81699999999998,145.81699999999998,145.43407142857134,0.15317142857145427,2024-09-03 16:00:00+00:00,True,2024-09-03 19:00:00+00:00,145.81699999999998,-0.0,SL
