entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-04-10 02:00:00+00:00,2025-04-10 03:28:00+00:00,1,-34.92803571428453,loss,SL,2025-04,GBPJPY
2025-04-10 05:00:00+00:00,2025-04-10 10:30:00+00:00,1,40.03089285714623,win,HALF+SL,2025-04,GBPJPY
2025-04-10 14:00:00+00:00,2025-04-10 18:50:00+00:00,-1,162.90812500000698,win,HALF+TP,2025-04,GBPJPY
2025-04-10 19:00:00+00:00,2025-04-10 20:49:00+00:00,-1,-90.29464285714255,loss,SL,2025-04,GBPJPY
2025-04-10 22:00:00+00:00,2025-04-10 23:01:00+00:00,-1,32.79214285714431,win,HALF+SL,2025-04,GBPJPY
2025-04-11 02:00:00+00:00,2025-04-11 09:20:00+00:00,-1,50.83821428571582,win,HALF+SL,2025-04,GBPJPY
2025-04-11 11:00:00+00:00,2025-04-11 16:39:00+00:00,-1,-94.0983928571427,loss,SL,2025-04,GBPJPY
2025-04-11 17:00:00+00:00,2025-04-14 03:54:00+00:00,1,86.17660714286046,win,HALF+SL,2025-04,GBPJPY
2025-04-14 04:00:00+00:00,2025-04-14 10:58:00+00:00,-1,-115.81446428571098,loss,SL,2025-04,GBPJPY
2025-04-14 11:00:00+00:00,2025-04-16 20:34:00+00:00,1,123.95500000000368,win,HALF+SL,2025-04,GBPJPY
2025-04-17 00:00:00+00:00,2025-04-17 03:01:00+00:00,-1,27.780892857143158,win,HALF+SL,2025-04,GBPJPY
2025-04-17 06:00:00+00:00,2025-04-17 09:22:00+00:00,-1,-21.587500000001114,loss,SL,2025-04,GBPJPY
2025-04-17 14:00:00+00:00,2025-04-17 21:46:00+00:00,-1,-64.78089285714361,loss,SL,2025-04,GBPJPY
2025-04-18 00:00:00+00:00,2025-04-18 00:18:00+00:00,1,17.010892857146587,win,HALF+SL,2025-04,GBPJPY
2025-04-18 01:00:00+00:00,2025-04-18 01:46:00+00:00,1,-20.941607142853513,loss,SL,2025-04,GBPJPY
2025-04-18 03:00:00+00:00,2025-04-18 04:59:00+00:00,1,13.742321428571813,win,HALF+SL,2025-04,GBPJPY
2025-04-18 08:00:00+00:00,2025-04-18 14:50:00+00:00,1,12.258928571429806,win,HALF+SL,2025-04,GBPJPY
2025-04-18 16:00:00+00:00,2025-04-18 19:24:00+00:00,1,-17.823392857138742,loss,SL,2025-04,GBPJPY
2025-04-18 22:00:00+00:00,2025-04-21 00:00:00+00:00,1,6.08446428571483,win,HALF+SL,2025-04,GBPJPY
2025-04-21 09:00:00+00:00,2025-04-21 12:23:00+00:00,-1,-28.55178571428496,loss,SL,2025-04,GBPJPY
2025-04-21 14:00:00+00:00,2025-04-21 18:57:00+00:00,1,-37.637142857141725,loss,SL,2025-04,GBPJPY
2025-04-21 19:00:00+00:00,2025-04-21 22:57:00+00:00,-1,31.13678571428693,win,HALF+SL,2025-04,GBPJPY
2025-04-22 01:00:00+00:00,2025-04-22 02:51:00+00:00,-1,17.826964285717395,win,HALF+SL,2025-04,GBPJPY
2025-04-22 09:00:00+00:00,2025-04-22 09:46:00+00:00,-1,-35.56857142856984,loss,SL,2025-04,GBPJPY
2025-04-22 11:00:00+00:00,2025-04-22 16:46:00+00:00,-1,-55.59946428571152,loss,SL,2025-04,GBPJPY
2025-04-22 19:00:00+00:00,2025-04-22 20:15:00+00:00,1,22.32357142857495,win,HALF+SL,2025-04,GBPJPY
2025-04-22 22:00:00+00:00,2025-04-23 01:00:00+00:00,1,175.0168750000057,win,HALF+TP,2025-04,GBPJPY
2025-04-23 06:00:00+00:00,2025-04-23 10:11:00+00:00,1,-28.39982142857025,loss,SL,2025-04,GBPJPY
2025-04-23 16:00:00+00:00,2025-04-23 20:13:00+00:00,1,145.42250000000934,win,HALF+TP,2025-04,GBPJPY
2025-04-24 02:00:00+00:00,2025-04-24 05:01:00+00:00,1,-32.92767857142849,loss,SL,2025-04,GBPJPY
