time,dir,ep,sl,tp,risk,tf,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-09-05 04:59:00+00:00,-1,143.76399999999998,143.9201,143.37374999999997,0.15610000000000923,1h,2024-09-05 04:59:00+00:00,False,2024-09-05 05:00:00+00:00,143.60789999999997,15.610000000000923,HALF_TP
2024-09-05 04:59:00+00:00,-1,143.76399999999998,143.76399999999998,143.37374999999997,0.15610000000000923,1h,2024-09-05 04:59:00+00:00,True,2024-09-05 05:00:00+00:00,143.37374999999997,39.02500000000089,TP
2024-09-05 07:59:00+00:00,-1,143.238,144.00491428571428,141.3207142857143,0.7669142857142788,4h,2024-09-05 07:59:00+00:00,False,2024-10-02 02:00:00+00:00,144.00491428571428,-76.69142857142788,SL
2024-10-02 04:59:00+00:00,-1,144.13199999999998,144.232425,143.8809374999999,0.10042500000002974,1h,2024-10-02 04:59:00+00:00,False,2024-10-02 05:00:00+00:00,144.03157499999995,10.042500000002974,HALF_TP
2024-10-02 04:59:00+00:00,-1,144.13199999999998,144.13199999999998,143.8809374999999,0.10042500000002974,1h,2024-10-02 04:59:00+00:00,True,2024-10-02 05:00:00+00:00,143.8809374999999,25.106250000007435,TP
2024-10-02 07:59:00+00:00,-1,143.899,144.28481785714285,142.93445535714287,0.3858178571428539,4h,2024-10-02 07:59:00+00:00,False,2024-10-02 08:00:00+00:00,144.28481785714285,-38.58178571428539,SL
2024-10-02 09:59:00+00:00,-1,144.32,144.4556142857143,143.98096428571426,0.135614285714297,1h,2024-10-02 09:59:00+00:00,False,2024-10-02 10:00:00+00:00,144.1843857142857,13.561428571429701,HALF_TP
2024-10-02 09:59:00+00:00,-1,144.32,144.32,143.98096428571426,0.135614285714297,1h,2024-10-02 09:59:00+00:00,True,2024-10-02 10:00:00+00:00,144.32,-0.0,SL
2024-10-02 12:59:00+00:00,1,144.685,144.5589857142857,145.00003571428573,0.12601428571429096,1h,2024-10-02 12:59:00+00:00,False,2024-10-02 13:00:00+00:00,144.8110142857143,12.601428571429096,HALF_TP
2024-10-02 12:59:00+00:00,1,144.685,144.685,145.00003571428573,0.12601428571429096,1h,2024-10-02 12:59:00+00:00,True,2024-10-02 13:00:00+00:00,145.00003571428573,31.50357142857274,TP
2024-10-02 17:59:00+00:00,1,146.03,145.84923214285712,146.4819196428572,0.18076785714288235,1h,2024-10-02 17:59:00+00:00,False,2024-10-02 18:00:00+00:00,146.21076785714288,18.076785714288235,HALF_TP
2024-10-02 17:59:00+00:00,1,146.03,146.03,146.4819196428572,0.18076785714288235,1h,2024-10-02 17:59:00+00:00,True,2024-10-02 19:00:00+00:00,146.4819196428572,45.19196428572059,TP
2024-10-02 20:59:00+00:00,1,146.43800000000002,146.23941071428573,146.93447321428573,0.19858928571429146,1h,2024-10-02 20:59:00+00:00,False,2024-10-02 21:00:00+00:00,146.23941071428573,-19.858928571429146,SL
2024-10-02 22:59:00+00:00,1,146.412,146.17624285714288,147.00139285714283,0.2357571428571248,1h,2024-10-02 22:59:00+00:00,False,2024-10-02 23:00:00+00:00,146.64775714285713,23.57571428571248,HALF_TP
2024-10-02 22:59:00+00:00,1,146.412,146.412,147.00139285714283,0.2357571428571248,1h,2024-10-02 22:59:00+00:00,True,2024-10-03 00:00:00+00:00,147.00139285714283,58.93928571428262,TP
