entry_time,exit_time,result,pnl,equity,tf,dir,pair
2026-02-06 10:00:00+00:00,2026-02-06 14:30:00+00:00,SL,-20929.29329514339,7248711.936277255,4h,1,USDCHF
2026-02-06 14:00:00+00:00,2026-02-08 23:01:00+00:00,TP,35964.72030539897,5048163.579655185,1h,1,AUDUSD
2026-02-06 14:00:00+00:00,2026-02-08 23:00:00+00:00,SL,9979.030144167737,7258690.9664214235,4h,-1,USDCHF
2026-02-06 14:00:00+00:00,2026-02-09 12:54:00+00:00,TP,35990.030852934346,4712722.4397040615,4h,1,EURUSD
2026-02-09 05:00:00+00:00,2026-02-09 07:00:00+00:00,TP,35148.32235306627,4866138.8674193835,1h,1,EURGBP
2026-02-09 05:00:00+00:00,2026-02-09 06:00:00+00:00,TP,36010.018909864855,4748732.458613927,1h,1,EURUSD
2026-02-09 05:00:00+00:00,2026-02-09 06:00:00+00:00,TP,35816.22222542304,7294507.188646846,1h,-1,USDCHF
2026-02-09 06:00:00+00:00,2026-02-09 15:37:00+00:00,TP,35845.55509109223,5084009.134746278,4h,1,AUDUSD
2026-02-09 06:00:00+00:00,2026-02-09 13:27:00+00:00,TP,35974.02381979232,4784706.482433719,4h,1,EURUSD
2026-02-09 07:00:00+00:00,2026-02-09 11:30:00+00:00,SL,9891.3954307753,4876030.262850159,1h,1,EURGBP
2026-02-09 08:00:00+00:00,2026-02-24 15:15:00+00:00,SL,9951.23381823413,4885981.496668393,4h,1,EURGBP
2026-02-09 09:00:00+00:00,2026-02-09 13:15:00+00:00,TP,35862.98516535066,7330370.1738121975,1h,-1,USDCHF
2026-02-09 09:00:00+00:00,2026-02-09 10:17:00+00:00,SL,-20998.26922892383,5063010.865517354,1h,1,AUDUSD
2026-02-09 10:00:00+00:00,2026-02-09 15:36:00+00:00,TP,35838.616605424846,5098849.482122779,4h,1,AUDUSD
2026-02-09 11:00:00+00:00,2026-02-09 12:21:00+00:00,TP,35892.4731377523,5716215.240966013,1h,1,GBPUSD
2026-02-09 11:00:00+00:00,2026-02-09 12:00:00+00:00,TP,35731.812278066165,7366101.986090263,1h,-1,USDCHF
2026-02-09 12:00:00+00:00,2026-02-09 13:24:00+00:00,TP,35974.02381979232,4820680.506253511,1h,1,EURUSD
2026-02-09 12:00:00+00:00,2026-02-09 14:15:00+00:00,TP,35875.6291014084,7401977.615191672,1h,-1,USDCHF
2026-02-09 14:00:00+00:00,2026-02-17 07:07:00+00:00,SL,-20351.13787932673,5695864.103086686,4h,1,GBPUSD
2026-02-09 14:00:00+00:00,2026-02-10 12:45:00+00:00,SL,-20898.920480719935,4865082.576187673,1h,1,EURGBP
2026-02-10 06:00:00+00:00,2026-02-10 09:15:00+00:00,TP,34665.51440096407,4899748.090588637,1h,1,EURGBP
2026-02-10 06:00:00+00:00,2026-02-10 06:01:00+00:00,SL,-20606.177221908903,4800074.329031602,1h,1,EURUSD
2026-02-10 08:00:00+00:00,2026-02-10 12:45:00+00:00,SL,-21160.35092997548,4878587.739658661,4h,1,EURGBP
2026-02-10 08:00:00+00:00,2026-02-10 10:20:00+00:00,SL,9920.602321683116,5108770.084444462,1h,1,AUDUSD
2026-02-10 08:00:00+00:00,2026-02-10 12:45:00+00:00,SL,9958.17931482339,7411935.794506496,1h,-1,USDCHF
2026-02-10 09:00:00+00:00,2026-02-10 14:30:00+00:00,TP,35626.35070252125,7447562.145209017,1h,-1,USDCHF
2026-02-10 10:00:00+00:00,2026-02-10 14:48:00+00:00,SL,9968.812653152121,5118738.897097615,4h,1,AUDUSD
2026-02-10 10:00:00+00:00,2026-02-10 12:45:00+00:00,SL,-20587.532760508242,4779486.796271093,4h,1,EURUSD
2026-02-10 10:00:00+00:00,2026-02-10 15:30:00+00:00,SL,9982.399622849043,7457544.544831866,4h,-1,USDCHF
2026-02-10 10:00:00+00:00,2026-02-10 12:00:00+00:00,SL,-21368.81438232438,4857218.925276337,1h,1,EURGBP
2026-02-10 13:00:00+00:00,2026-02-10 15:15:00+00:00,SL,-20659.970598586373,5675204.132488099,1h,1,GBPUSD
2026-02-10 14:00:00+00:00,2026-02-10 17:46:00+00:00,SL,-20535.239718846682,5654668.892769252,4h,1,GBPUSD
2026-02-10 14:00:00+00:00,2026-02-10 14:47:00+00:00,SL,9971.796937953237,5128710.694035568,4h,1,AUDUSD
2026-02-11 06:00:00+00:00,2026-02-11 10:41:00+00:00,TP,35299.076383626685,5689967.969152879,1h,1,GBPUSD
2026-02-11 08:00:00+00:00,2026-02-11 14:30:00+00:00,TP,34969.43616330314,4892188.361439641,4h,-1,EURGBP
2026-02-11 08:00:00+00:00,2026-02-11 10:41:00+00:00,TP,35268.64133507712,5725236.610487957,1h,1,GBPUSD
2026-02-11 09:00:00+00:00,2026-02-11 16:45:00+00:00,SL,9895.355633451883,4902083.717073092,1h,-1,EURGBP
2026-02-11 10:00:00+00:00,2026-02-11 10:55:00+00:00,SL,-20322.794678698207,4759164.001592395,1h,-1,EURUSD
2026-02-11 11:00:00+00:00,2026-02-11 12:30:00+00:00,TP,35221.329000940954,7492765.873832807,1h,1,USDCHF
2026-02-11 12:00:00+00:00,2026-02-11 13:30:00+00:00,TP,35317.040239270966,7528082.914072078,1h,1,USDCHF
2026-02-11 12:00:00+00:00,2026-02-17 07:15:00+00:00,SL,-20627.20656430066,4881456.510508792,4h,-1,EURGBP
2026-02-11 14:00:00+00:00,2026-02-27 00:00:00+00:00,BE,9993.709031471688,7538076.62310355,4h,1,USDCHF
2026-02-12 05:00:00+00:00,2026-02-12 07:18:00+00:00,SL,9972.402328307611,5735209.012816264,1h,-1,GBPUSD
2026-02-12 06:00:00+00:00,2026-02-12 06:15:00+00:00,SL,-20601.293793983892,7517475.329309566,1h,-1,USDCHF
2026-02-12 06:00:00+00:00,2026-02-12 06:16:00+00:00,SL,-20253.45851441462,4738910.54307798,1h,1,EURUSD
2026-02-12 06:00:00+00:00,2026-02-12 14:00:00+00:00,SL,-21679.481726108268,4859777.028782683,1h,1,EURGBP
2026-02-12 08:00:00+00:00,2026-02-12 14:15:00+00:00,SL,-21671.95983627322,4838105.06894641,4h,1,EURGBP
2026-02-12 08:00:00+00:00,2026-02-13 07:00:00+00:00,SL,9976.695203629193,7527452.024513195,1h,-1,USDCHF
2026-02-12 10:00:00+00:00,2026-02-17 15:00:00+00:00,SL,-20349.258793678677,7507102.765719516,4h,-1,USDCHF
2026-02-12 12:00:00+00:00,2026-02-12 12:54:00+00:00,SL,-20515.82575373715,5108194.868281831,1h,1,AUDUSD
2026-02-12 15:00:00+00:00,2026-02-12 17:05:00+00:00,TP,35358.706830774565,4774269.249908755,1h,-1,EURUSD
2026-02-12 15:00:00+00:00,2026-02-13 06:35:00+00:00,TP,35344.965774243836,5143539.834056075,1h,-1,AUDUSD
2026-02-13 05:00:00+00:00,2026-02-13 09:00:00+00:00,SL,10000.0,4784269.249908755,1h,-1,EURUSD
2026-02-13 05:00:00+00:00,2026-02-13 07:10:00+00:00,TP,35303.42705179124,5178843.261107866,1h,-1,AUDUSD
2026-02-13 05:00:00+00:00,2026-02-13 08:15:00+00:00,SL,9955.569486034743,7517058.335205551,1h,1,USDCHF
2026-02-13 06:00:00+00:00,2026-02-17 17:30:00+00:00,SL,9987.618152672587,5188830.879260538,4h,-1,AUDUSD
2026-02-13 06:00:00+00:00,2026-02-13 13:30:00+00:00,SL,-20336.860962744253,4763932.388946011,4h,-1,EURUSD
2026-02-13 06:00:00+00:00,2026-02-13 13:30:00+00:00,SL,-20407.98752027814,5714801.025295986,4h,-1,GBPUSD
2026-02-13 10:00:00+00:00,2026-02-13 13:30:00+00:00,SL,9966.245958314912,5198797.125218853,1h,-1,AUDUSD
2026-02-13 11:00:00+00:00,2026-02-13 13:30:00+00:00,TP,35258.05944077177,7552316.394646323,1h,-1,USDCHF
2026-02-13 13:00:00+00:00,2026-02-13 13:13:00+00:00,SL,10000.000000000002,4773932.388946011,1h,1,EURUSD
2026-02-13 13:00:00+00:00,2026-02-13 13:30:00+00:00,TP,33251.94228869121,4871357.011235101,1h,-1,EURGBP
2026-02-13 13:00:00+00:00,2026-02-13 13:45:00+00:00,SL,9966.123491470027,7562282.518137793,1h,-1,USDCHF
2026-02-13 14:00:00+00:00,2026-02-13 14:47:00+00:00,SL,9971.451876019548,5208768.5770948725,4h,-1,AUDUSD
