entry_time,direction,entry_price,sl,status,exit_time,exit_price,pnl
2026-01-15 06:50:00,LONG,1.59621,1.56586,CLOSED,2026-01-15 10:50:00,1.58465,-115.60000000000015
2026-01-15 08:48:00,LONG,1.59691,1.5664,CLOSED,2026-01-15 12:48:00,1.58586,-110.50000000000004
2026-01-15 09:04:00,LONG,1.59676,1.5662,CLOSED,2026-01-15 13:04:00,1.58605,-107.09999999999997
2026-01-15 09:47:00,LONG,1.59379,1.56301,CLOSED,2026-01-15 13:47:00,1.58765,-61.40000000000035
2026-01-15 10:03:00,LONG,1.59369,1.56344,CLOSED,2026-01-15 14:03:00,1.58873,-49.600000000000755
2026-01-15 11:03:00,LONG,1.59455,1.56434,CLOSED,2026-01-15 15:03:00,1.58666,-78.89999999999952
2026-01-15 11:32:00,LONG,1.5948,1.56462,CLOSED,2026-01-15 15:32:00,1.58593,-88.69999999999933
2026-01-15 12:09:00,LONG,1.5955300000000001,1.56539,CLOSED,2026-01-15 16:09:00,1.58517,-103.60000000000147
2026-01-15 13:10:00,LONG,1.59575,1.56554,CLOSED,2026-01-15 17:10:00,1.58505,-106.99999999999932
2026-01-15 14:17:00,LONG,1.59751,1.5664799999999999,CLOSED,2026-01-15 18:17:00,1.58511,-123.99999999999966
2026-01-15 15:05:00,LONG,1.59678,1.56627,CLOSED,2026-01-15 19:05:00,1.58532,-114.60000000000025
2026-01-15 15:47:00,LONG,1.59526,1.56473,CLOSED,2026-01-15 19:47:00,1.58555,-97.09999999999886
2026-01-15 16:47:00,LONG,1.59491,1.56464,CLOSED,2026-01-15 20:47:00,1.58603,-88.79999999999998
2026-01-15 18:05:00,LONG,1.59491,1.56475,CLOSED,2026-01-15 22:05:00,1.58577,-91.40000000000148
2026-01-15 18:36:00,LONG,1.5949,1.56476,CLOSED,2026-01-15 22:36:00,1.58582,-90.79999999999977
2026-01-15 20:09:00,LONG,1.59518,1.56511,CLOSED,2026-01-16 00:09:00,1.58545,-97.30000000000017
2026-01-15 22:12:00,LONG,1.59569,1.56553,CLOSED,2026-01-16 02:12:00,1.58537,-103.20000000000107
2026-01-15 22:36:00,LONG,1.59582,1.5657699999999999,CLOSED,2026-01-16 02:36:00,1.58397,-118.49999999999916
2026-01-16 00:33:00,SHORT,1.57596,1.6061,CLOSED,2026-01-16 04:33:00,1.58187,-59.10000000000082
2026-01-16 03:50:00,SHORT,1.57145,1.60193,CLOSED,2026-01-16 07:50:00,1.58142,-99.70000000000034
2026-01-16 04:20:00,SHORT,1.57225,1.60253,CLOSED,2026-01-16 08:20:00,1.5818,-95.50000000000169
2026-01-16 04:53:00,SHORT,1.5728,1.6029200000000001,CLOSED,2026-01-16 08:53:00,1.58157,-87.69999999999945
2026-01-16 06:14:00,SHORT,1.57389,1.60409,CLOSED,2026-01-16 10:14:00,1.58157,-76.79999999999909
2026-01-16 06:32:00,SHORT,1.57394,1.60432,CLOSED,2026-01-16 10:32:00,1.58107,-71.30000000000081
2026-01-16 06:51:00,SHORT,1.57436,1.60449,CLOSED,2026-01-16 10:51:00,1.58116,-67.99999999999918
2026-01-16 08:04:00,SHORT,1.5719,1.60254,CLOSED,2026-01-16 12:04:00,1.58146,-95.60000000000014
2026-01-16 09:17:00,SHORT,1.5715,1.60164,CLOSED,2026-01-16 13:17:00,1.58085,-93.50000000000192
2026-01-16 09:37:00,SHORT,1.57131,1.60167,CLOSED,2026-01-16 13:37:00,1.58067,-93.60000000000035
2026-01-16 10:31:00,SHORT,1.57106,1.60129,CLOSED,2026-01-16 14:31:00,1.58081,-97.50000000000148
2026-01-16 12:02:00,SHORT,1.57121,1.60171,CLOSED,2026-01-16 16:02:00,1.5801,-88.90000000000065
2026-01-16 12:49:00,SHORT,1.57168,1.60196,CLOSED,2026-01-16 16:49:00,1.58015,-84.69999999999978
2026-01-16 13:58:00,SHORT,1.5703,1.60047,CLOSED,2026-01-16 17:58:00,1.58137,-110.69999999999914
2026-01-16 14:14:00,SHORT,1.57046,1.60104,CLOSED,2026-01-16 18:14:00,1.58188,-114.19999999999986
2026-01-16 16:31:00,SHORT,1.57057,1.60097,CLOSED,2026-01-16 20:31:00,1.58085,-102.80000000000067
2026-01-16 17:04:00,SHORT,1.57065,1.6009200000000001,CLOSED,2026-01-16 21:04:00,1.58079,-101.39999999999816
2026-01-16 17:33:00,SHORT,1.57096,1.60116,CLOSED,2026-01-16 21:33:00,1.58081,-98.50000000000136
2026-01-16 18:22:00,SHORT,1.57231,1.60242,CLOSED,2026-01-16 22:22:00,,
2026-01-16 19:03:00,SHORT,1.57201,1.60207,CLOSED,2026-01-16 23:03:00,,
2026-01-16 19:19:00,SHORT,1.572,1.60209,CLOSED,2026-01-16 23:19:00,,
2026-01-16 20:16:00,SHORT,1.57074,1.60087,CLOSED,2026-01-17 00:16:00,,
2026-01-18 22:23:00,SHORT,1.56953,1.59971,CLOSED,2026-01-19 02:23:00,1.5784,-88.69999999999933
2026-01-18 23:18:00,SHORT,1.56769,1.59818,CLOSED,2026-01-19 03:18:00,1.57885,-111.60000000000059
2026-01-18 23:47:00,SHORT,1.56554,1.59595,CLOSED,2026-01-19 03:47:00,1.57871,-131.70000000000127
2026-01-19 01:01:00,SHORT,1.56485,1.5962,CLOSED,2026-01-19 05:01:00,1.5779,-130.50000000000006
2026-01-19 02:22:00,SHORT,1.56843,1.59868,CLOSED,2026-01-19 06:22:00,1.57853,-100.99999999999997
2026-01-19 02:49:00,SHORT,1.56924,1.59929,CLOSED,2026-01-19 06:49:00,1.57848,-92.40000000000137
2026-01-19 04:35:00,SHORT,1.56856,1.59877,CLOSED,2026-01-19 08:35:00,1.58012,-115.60000000000015
2026-01-19 04:53:00,SHORT,1.5685499999999999,1.59878,CLOSED,2026-01-19 08:53:00,1.5803,-117.50000000000149
