entry_time,exit_time,dir,ep,sl,tp,pnl,result,exit_type,tf,pattern,month,period
2024-11-13 00:00:00+00:00,2024-11-13 02:59:00+00:00,1,154.61499999999998,154.611,154.93141071428573,44.057500000005234,win,HALF+TP,1h,double_bottom,2024-11,IS
2024-11-13 05:00:00+00:00,2024-11-13 15:30:00+00:00,1,154.7435,154.73950000000002,155.31507589285724,22.223035714290518,win,HALF+SL,1h,double_bottom,2024-11,IS
2024-11-13 17:00:00+00:00,2024-11-14 12:23:00+00:00,1,154.8415,154.8375,156.18304017857142,187.5756249999995,win,HALF+TP,1h,double_bottom,2024-11,IS
2024-11-14 15:00:00+00:00,2024-11-14 15:19:00+00:00,1,156.0015,155.82275178571427,156.43437053571432,-17.874821428571863,loss,SL,1h,double_bottom,2024-11,IS
2024-11-14 19:00:00+00:00,2024-11-15 09:15:00+00:00,1,155.9765,155.9725,156.8760446428571,35.341785714285834,win,HALF+SL,1h,double_bottom,2024-11,IS
2024-11-15 12:00:00+00:00,2024-11-20 08:27:00+00:00,-1,155.3625,155.3665,152.1767544642857,126.78982142857365,win,HALF+SL,4h,double_top,2024-11,IS
2024-11-20 12:00:00+00:00,2024-11-20 16:21:00+00:00,1,155.76149999999998,155.54758214285715,156.2822946428571,-21.391785714283174,loss,SL,1h,double_bottom,2024-11,IS
2024-11-20 21:00:00+00:00,2024-11-21 00:09:00+00:00,1,155.345,155.341,155.8339955357143,18.91982142857387,win,HALF+SL,1h,double_bottom,2024-11,IS
2024-11-21 07:00:00+00:00,2024-11-21 08:12:00+00:00,1,155.06199999999998,154.82999821428572,155.62800446428565,-23.200178571426022,loss,SL,1h,double_bottom,2024-11,IS
2024-11-21 11:00:00+00:00,2024-11-25 08:08:00+00:00,-1,154.4385,154.4425,152.81810714285714,64.17571428571591,win,HALF+SL,1h,double_top,2024-11,IS
2024-11-25 12:00:00+00:00,2024-11-25 18:07:00+00:00,-1,154.4205,154.4245,153.54744196428567,34.28232142857439,win,HALF+SL,1h,double_top,2024-11,IS
2024-11-25 21:00:00+00:00,2024-11-26 01:53:00+00:00,-1,154.10600000000002,154.43667142857143,153.29332142857146,-33.06714285714065,loss,SL,1h,double_top,2024-11,IS
2024-11-26 03:00:00+00:00,2024-11-27 03:20:00+00:00,-1,154.0135,154.01749999999998,152.69430803571424,184.44687500000612,win,HALF+TP,1h,double_top,2024-11,IS
2024-11-27 04:00:00+00:00,2024-11-27 12:07:00+00:00,-1,152.5475,152.5515,151.23929017857142,182.90937500000268,win,HALF+TP,1h,double_top,2024-11,IS
2024-11-27 15:00:00+00:00,2024-11-27 16:30:00+00:00,-1,151.479,151.483,151.01542857142854,64.66000000000633,win,HALF+TP,1h,double_top,2024-11,IS
2024-11-27 20:00:00+00:00,2024-11-28 10:47:00+00:00,-1,150.7595,151.91039285714285,147.89626785714285,-115.08928571428498,loss,SL,4h,double_top,2024-11,IS
2024-11-28 13:00:00+00:00,2024-11-28 16:08:00+00:00,-1,151.84650000000002,151.8505,151.50233928571436,47.942499999993515,win,HALF+TP,1h,double_top,2024-11,IS
2024-11-28 18:00:00+00:00,2024-11-29 01:24:00+00:00,-1,151.5175,151.5215,151.23935714285716,38.700000000000045,win,HALF+TP,1h,double_top,2024-11,IS
2024-11-29 02:00:00+00:00,2024-11-29 03:08:00+00:00,-1,151.184,151.188,150.19894196428567,137.66812500000754,win,HALF+TP,1h,double_top,2024-11,IS
2024-11-29 04:00:00+00:00,2024-12-10 10:03:00+00:00,-1,149.937,151.663925,145.6336875,-172.69249999999943,loss,SL,4h,double_top,2024-11,IS
2024-12-10 12:00:00+00:00,2024-12-13 13:20:00+00:00,1,151.60049999999998,151.5965,153.55162053571428,272.91687500000137,win,HALF+TP,4h,double_bottom,2024-12,IS
2024-12-13 17:00:00+00:00,2024-12-17 16:11:00+00:00,1,153.6035,153.5995,154.54345982142866,36.95839285714726,win,HALF+SL,1h,double_bottom,2024-12,IS
2024-12-18 00:00:00+00:00,2024-12-18 06:45:00+00:00,1,153.426,153.422,154.22839285714284,31.45571428571543,win,HALF+SL,4h,double_bottom,2024-12,IS
2024-12-18 09:00:00+00:00,2024-12-18 15:05:00+00:00,1,153.479,153.47500000000002,153.90027678571434,58.738750000006235,win,HALF+TP,1h,double_bottom,2024-12,IS
2024-12-18 18:00:00+00:00,2024-12-19 04:52:00+00:00,1,154.02849999999998,154.0245,154.95382589285708,129.30562499999496,win,HALF+TP,1h,double_bottom,2024-12,IS
2024-12-19 08:00:00+00:00,2024-12-19 17:21:00+00:00,1,155.2345,155.2305,157.46258035714288,311.69125000000406,win,HALF+TP,4h,double_bottom,2024-12,IS
2024-12-20 00:00:00+00:00,2024-12-20 02:10:00+00:00,1,157.42799999999997,157.42399999999998,157.82334821428566,55.108749999996576,win,HALF+TP,1h,double_bottom,2024-12,IS
2024-12-20 06:00:00+00:00,2024-12-20 09:12:00+00:00,1,157.07,156.7921785714286,157.75055357142853,-27.782142857140002,loss,SL,1h,double_bottom,2024-12,IS
2024-12-20 11:00:00+00:00,2024-12-20 11:15:00+00:00,1,156.89399999999998,156.69340892857144,157.38147767857134,-20.05910714285335,loss,SL,1h,double_bottom,2024-12,IS
2024-12-20 13:00:00+00:00,2024-12-20 15:30:00+00:00,1,156.7485,156.57844821428571,157.15962946428579,-17.00517857142927,loss,SL,1h,double_bottom,2024-12,IS
2024-12-20 17:00:00+00:00,2024-12-20 18:33:00+00:00,1,156.597,156.27431785714288,157.38970535714287,-32.26821428571327,loss,SL,1h,double_bottom,2024-12,IS
2024-12-20 21:00:00+00:00,2024-12-23 00:48:00+00:00,1,156.09099999999998,156.087,156.52398660714283,60.37812499999973,win,HALF+TP,1h,double_bottom,2024-12,IS
2024-12-23 01:00:00+00:00,2024-12-24 02:15:00+00:00,1,156.5515,156.5475,157.27494642857147,101.04250000000548,win,HALF+TP,1h,double_bottom,2024-12,IS
2024-12-24 09:00:00+00:00,2024-12-25 02:06:00+00:00,1,157.0895,157.0855,157.62403124999997,20.741250000000377,win,HALF+SL,1h,double_bottom,2024-12,IS
2024-12-25 03:00:00+00:00,2024-12-25 04:08:00+00:00,1,157.2585,157.04876785714285,157.76883035714292,-20.973214285714903,loss,SL,1h,double_bottom,2024-12,IS
2024-12-25 06:00:00+00:00,2024-12-25 09:33:00+00:00,1,157.12699999999998,157.123,157.49959374999997,14.263750000000641,win,HALF+SL,1h,double_bottom,2024-12,IS
2024-12-26 01:00:00+00:00,2024-12-26 01:36:00+00:00,1,157.265,157.15363035714284,157.52942410714286,-11.136964285714157,loss,SL,1h,double_bottom,2024-12,IS
2024-12-26 03:00:00+00:00,2024-12-26 17:59:00+00:00,1,157.3305,157.3265,158.04642410714288,99.98937500000409,win,HALF+TP,1h,double_bottom,2024-12,IS
2024-12-27 03:00:00+00:00,2024-12-27 04:10:00+00:00,1,157.9215,157.63201785714284,158.63120535714296,-28.948214285716745,loss,SL,1h,double_bottom,2024-12,IS
2024-12-27 08:00:00+00:00,2024-12-27 18:01:00+00:00,1,157.76749999999998,157.5260125,158.35721874999996,-24.148749999997676,loss,SL,1h,double_bottom,2024-12,IS
2024-12-30 02:00:00+00:00,2024-12-30 13:18:00+00:00,1,157.90599999999998,157.6670464285714,158.48938392857144,-23.89535714285671,loss,SL,1h,double_bottom,2024-12,IS
2024-12-30 16:00:00+00:00,2024-12-30 17:03:00+00:00,-1,157.45850000000002,157.4625,156.91997767857143,75.15312500000277,win,HALF+TP,1h,double_top,2024-12,IS
2024-12-30 20:00:00+00:00,2024-12-31 03:28:00+00:00,-1,157.14450000000002,157.1485,156.54634375000012,83.50187499998754,win,HALF+TP,1h,double_top,2024-12,IS
2024-12-31 04:00:00+00:00,2024-12-31 18:05:00+00:00,-1,156.441,157.20962321428573,154.53344196428566,-76.8623214285725,loss,SL,4h,double_top,2024-12,IS
2024-12-31 22:00:00+00:00,2024-12-31 23:58:00+00:00,1,157.31699999999998,157.19378214285712,157.61104464285717,-12.321785714286193,loss,SL,1h,double_bottom,2024-12,IS
2025-01-01 00:00:00+00:00,2025-01-02 01:37:00+00:00,-1,157.19650000000001,157.42281428571428,156.64471428571431,-22.63142857142668,loss,SL,1h,double_top,2025-01,IS
2025-01-02 04:00:00+00:00,2025-01-02 06:06:00+00:00,1,157.51399999999998,157.0847125,158.57321874999997,-42.92874999999867,loss,SL,4h,double_bottom,2025-01,IS
2025-01-02 09:00:00+00:00,2025-01-02 13:28:00+00:00,-1,156.6605,157.25315,155.19287500000002,-59.26499999999919,loss,SL,1h,double_top,2025-01,IS
2025-01-02 15:00:00+00:00,2025-01-02 15:31:00+00:00,-1,157.0765,157.0805,156.44701339285712,24.539464285717827,win,HALF+SL,1h,double_top,2025-01,IS
2025-01-02 17:00:00+00:00,2025-01-03 15:04:00+00:00,1,157.035,157.031,158.1412053571429,43.608214285717395,win,HALF+SL,1h,double_bottom,2025-01,IS
2025-01-03 16:00:00+00:00,2025-01-06 01:14:00+00:00,-1,157.181,157.5026714285714,156.39082142857148,-32.1671428571392,loss,SL,4h,double_top,2025-01,IS
2025-01-06 04:00:00+00:00,2025-01-06 14:01:00+00:00,1,157.62449999999998,157.03025178571428,159.09612053571425,-59.424821428569885,loss,SL,4h,double_bottom,2025-01,IS
