entry_time,exit_time,dir,pnl,result,exit_type,month
2025-06-04 12:00:00+00:00,2025-06-05 18:30:00+00:00,-1,56.575178571429774,win,HALF+SL,2025-06
2025-06-05 20:00:00+00:00,2025-06-12 13:15:00+00:00,1,83.25160714285857,win,HALF+SL,2025-06
2025-06-12 16:00:00+00:00,2025-06-12 18:00:00+00:00,-1,-54.27714285714558,loss,SL,2025-06
2025-06-12 21:00:00+00:00,2025-06-13 03:00:00+00:00,-1,82.06312500001332,win,HALF+TP,2025-06
2025-06-13 04:00:00+00:00,2025-06-13 08:15:00+00:00,-1,-78.34553571428273,loss,SL,2025-06
2025-06-13 13:00:00+00:00,2025-06-16 08:15:00+00:00,1,48.88053571429225,win,HALF+SL,2025-06
2025-06-16 10:00:00+00:00,2025-06-16 16:00:00+00:00,1,-30.40821428571121,loss,SL,2025-06
2025-06-16 21:00:00+00:00,2025-06-17 17:30:00+00:00,1,110.77437499999405,win,HALF+TP,2025-06
2025-06-17 22:00:00+00:00,2025-06-18 06:15:00+00:00,1,-28.949285714284656,loss,SL,2025-06
2025-06-18 11:00:00+00:00,2025-06-18 12:15:00+00:00,1,11.53803571428682,win,HALF+SL,2025-06
2025-06-18 15:00:00+00:00,2025-06-18 15:15:00+00:00,1,-7.8253571428547275,loss,SL,2025-06
2025-06-18 16:00:00+00:00,2025-06-18 21:45:00+00:00,-1,30.20285714285933,win,HALF+SL,2025-06
2025-06-19 08:00:00+00:00,2025-06-20 21:45:00+00:00,1,130.1643750000011,win,HALF+TP,2025-06
2025-06-23 04:00:00+00:00,2025-06-23 09:15:00+00:00,1,120.0631249999816,win,HALF+TP,2025-06
2025-06-23 11:00:00+00:00,2025-06-23 16:00:00+00:00,1,33.24517857143121,win,HALF+SL,2025-06
2025-06-24 01:00:00+00:00,2025-06-24 01:15:00+00:00,-1,27.780624999996917,win,HALF+TP,2025-06
2025-06-24 02:00:00+00:00,2025-06-24 09:15:00+00:00,-1,110.21125000000893,win,HALF+TP,2025-06
2025-06-24 12:00:00+00:00,2025-06-25 08:15:00+00:00,-1,35.005357142858884,win,HALF+SL,2025-06
2025-06-25 12:00:00+00:00,2025-06-25 19:00:00+00:00,1,26.464285714286007,win,HALF+SL,2025-06
2025-06-25 20:00:00+00:00,2025-06-26 10:45:00+00:00,-1,202.69062500000246,win,HALF+TP,2025-06
2025-06-26 12:00:00+00:00,2025-07-02 10:00:00+00:00,-1,110.4685714285722,win,HALF+SL,2025-06
2025-07-02 16:00:00+00:00,2025-07-03 06:45:00+00:00,-1,37.683928571431125,win,HALF+SL,2025-07
2025-07-03 08:00:00+00:00,2025-07-03 15:30:00+00:00,1,45.45232142857287,win,HALF+SL,2025-07
2025-07-03 16:00:00+00:00,2025-07-15 16:45:00+00:00,1,494.04562499999827,win,HALF+TP,2025-07
2025-07-15 20:00:00+00:00,2025-07-16 08:00:00+00:00,1,21.03267857143294,win,HALF+SL,2025-07
2025-07-16 11:00:00+00:00,2025-07-16 15:30:00+00:00,1,-29.997499999998922,loss,SL,2025-07
2025-07-16 20:00:00+00:00,2025-07-17 15:30:00+00:00,-1,-97.28142857142643,loss,SL,2025-07
2025-07-17 16:00:00+00:00,2025-07-18 16:15:00+00:00,1,-44.48053571428261,loss,SL,2025-07
2025-07-18 18:00:00+00:00,2025-07-21 00:00:00+00:00,1,31.642857142858816,win,HALF+SL,2025-07
2025-07-21 03:00:00+00:00,2025-07-21 09:30:00+00:00,-1,86.46187500000906,win,HALF+TP,2025-07
2025-07-21 12:00:00+00:00,2025-07-22 09:30:00+00:00,-1,72.09946428571925,win,HALF+SL,2025-07
