symbol,entry_time,exit_time,dir,ep,sl,tp,exit_price,result,lot,eff_risk,half_pnl,equity_after,pnl_delta,month
EURJPY,2025-05-22 03:00:00+00:00,2025-05-22 11:04:00+00:00,-1,162.35999999999999,162.62191785714285,161.71220535714286,162.35999999999999,BE,565049.6254590834,0.02,73433.24391434815,7416418.605573887,73094.21413907222,2025-05
US30,2025-05-22 05:00:00+00:00,2025-05-22 14:59:00+00:00,-1,41855.8,41933.752321428576,41660.91919642857,41660.91919642857,TP,11.074210279708492,0.02,64744.52994685808,6701058.842855285,226605.84816947766,2025-05
EURGBP,2025-05-22 12:00:00+00:00,2025-05-22 14:30:00+00:00,-1,0.84264,0.8435305000000001,0.8405537499999998,0.8405537499999998,TP,539035.4587001237,0.015,28973.10146255329,3962799.990334064,99719.79532695748,2025-05
EURJPY,2025-05-22 20:00:00+00:00,2025-05-23 09:58:00+00:00,-1,162.414,162.65127142857145,161.82782142857138,162.65127142857145,SL,643005.7508023318,0.02,0.0,7411091.382023142,-152952.69652301632,2025-05
US30,2025-05-23 05:00:00+00:00,2025-05-23 05:21:00+00:00,-1,41871.0,41923.7625,41739.09375000001,41923.7625,SL,17.526578904403294,0.02,0.0,6796883.967393983,-138711.92843247578,2025-05
US30,2025-05-23 07:00:00+00:00,2025-05-23 10:11:00+00:00,-1,41883.0,41956.65178571428,41698.87053571429,41883.0,BE,12.304537994070527,0.02,67968.83967393983,6864852.7996852,67968.83229121659,2025-05
EURGBP,2025-05-23 10:00:00+00:00,2025-05-23 10:14:00+00:00,-1,0.84083,0.8413423928571429,0.8396890178571429,0.8413423928571429,SL,1001353.3852498053,0.015,0.0,3912082.9672989342,-65313.56786005758,2025-05
USDJPY,2025-05-23 15:00:00+00:00,2025-05-27 06:55:00+00:00,-1,142.665,143.4697875,140.65653125,143.4697875,SL,56299.059037368635,0.02,0.0,2217281.437389484,-45342.55841045873,2025-05
EURGBP,2025-05-23 16:00:00+00:00,2025-05-25 21:04:00+00:00,-1,0.84017,0.8408479285714286,0.8386151785714284,0.84017,BE,729909.1920316293,0.015,29340.622254742007,3940985.644038457,28902.67673952272,2025-05
US30,2025-05-23 23:00:00+00:00,2025-05-26 01:19:00+00:00,-1,41599.05,41810.58678571429,41070.20803571429,41810.58678571429,SL,4.326971800833618,0.02,0.0,6727555.741095313,-137297.05858988687,2025-05
EURJPY,2025-05-25 22:00:00+00:00,2025-05-25 22:09:00+00:00,1,162.008,161.85308928571428,162.3882767857143,162.3882767857143,TP,956854.4832675124,0.02,73156.65125196644,7570182.437405294,254517.3122086497,2025-05
EURJPY,2025-05-25 23:00:00+00:00,2025-05-27 00:00:00+00:00,1,162.41,161.86211785714286,163.7727053571428,162.41,BE,277355.9288011613,0.02,75701.82437405294,7645717.848222067,75535.41081677284,2025-05
US30,2025-05-26 04:00:00+00:00,2025-05-26 11:03:00+00:00,1,41902.0,41824.50964285714,42095.72589285715,42095.72589285715,TP,11.575729745216552,0.02,67275.55741095313,6963020.185088211,235464.44399289787,2025-05
US30,2025-05-26 14:00:00+00:00,2025-05-26 15:58:00+00:00,1,42029.5,42000.49464285714,42102.013392857145,42029.5,BE,32.6513333042056,0.02,71029.76877592322,7174006.626777445,71029.74918512348,2025-05
AUDUSD,2025-05-27 02:00:00+00:00,2025-05-27 06:11:00+00:00,-1,0.64849,0.6496871428571429,0.6455321428571426,0.64849,BE,687431.7269154085,0.02,61205.974828579856,6181390.998650416,60793.51579243038,2025-05
US30,2025-05-27 05:00:00+00:00,2025-05-27 09:48:00+00:00,-1,41938.5,42021.80410714286,41730.23973214285,42021.80410714286,SL,11.252788884819209,0.02,0.0,6889915.9454879835,-140610.5363892177,2025-05
EURJPY,2025-05-27 11:00:00+00:00,2025-05-27 15:23:00+00:00,1,163.518,163.20088214285713,164.30379464285716,163.518,BE,501772.86614397494,0.02,79058.79517586173,7984637.249042348,78757.73145617545,2025-05
EURJPY,2025-05-27 17:00:00+00:00,2025-05-27 22:05:00+00:00,1,163.602,163.46498214285714,163.93754464285712,163.46498214285714,SL,1182752.773300823,0.02,0.0,7821869.3468509065,-162767.9021914415,2025-05
AUDUSD,2025-05-27 20:00:00+00:00,2025-05-28 00:00:00+00:00,-1,0.64427,0.64489825,0.6427343749999999,0.64489825,SL,1319137.6310250158,0.02,0.0,5991572.587777205,-125103.71508233435,2025-05
US30,2025-05-27 23:00:00+00:00,2025-05-28 10:29:00+00:00,1,42358.05,42272.90053571429,42570.92366071429,42272.90053571429,SL,11.23027352501076,0.02,0.0,7028450.535371622,-143437.77290366963,2025-05
EURGBP,2025-05-28 00:00:00+00:00,2025-05-28 00:19:00+00:00,-1,0.8389,0.8391074285714286,0.8385214285714285,0.8391074285714286,SL,1791100.1506557632,0.01,0.0,3725731.283776109,-47825.55194593361,2025-05
