datetime,open,high,low,close,volume
2024-12-17 04:00:00,154.042,154.259,153.921,154.066,22185
2024-12-17 08:00:00,154.068,154.164,153.68,153.908,26831
2024-12-17 12:00:00,153.914,153.995,153.418,153.508,33669
2024-12-17 16:00:00,153.503,153.643,153.157,153.34,25530
2024-12-17 20:00:00,153.342,153.61,153.324,153.569,11306
2024-12-18 00:00:00,153.567,153.782,153.542,153.616,20254
2024-12-18 04:00:00,153.614,153.651,153.33,153.577,18907
2024-12-18 08:00:00,153.576,153.741,153.51,153.659,21158
2024-12-18 12:00:00,153.66,154.07,153.63,154.013,28046
2024-12-18 16:00:00,154.019,154.659,153.704,154.65,31895
2024-12-18 20:00:00,154.648,154.861,154.326,154.659,26045
2024-12-19 00:00:00,154.673,155.438,154.46,155.251,29572
2024-12-19 04:00:00,155.251,156.777,154.919,156.473,29735
2024-12-19 08:00:00,156.474,157.145,156.43,156.693,34437
2024-12-19 12:00:00,156.691,157.76,156.396,157.71,41123
2024-12-19 16:00:00,157.711,157.805,157.347,157.423,31059
2024-12-19 20:00:00,157.413,157.673,157.301,157.645,15469
2024-12-20 00:00:00,157.643,157.927,156.828,157.063,32034
2024-12-20 04:00:00,157.064,157.314,156.76,156.826,28393
2024-12-20 08:00:00,156.825,156.963,156.61,156.773,30739
2024-12-20 12:00:00,156.772,156.816,156.316,156.502,40237
2024-12-20 16:00:00,156.499,156.584,155.949,156.002,30265
2024-12-20 20:00:00,156.001,156.46,155.994,156.406,9268
2024-12-22 20:00:00,156.29,156.56,156.29,156.56,2506
2024-12-23 00:00:00,156.562,156.69,156.333,156.515,18183
2024-12-23 04:00:00,156.519,156.806,156.485,156.792,17846
2024-12-23 08:00:00,156.792,156.92,156.45,156.843,24318
2024-12-23 12:00:00,156.844,157.278,156.842,157.126,29255
2024-12-23 16:00:00,157.128,157.212,156.977,157.099,21506
2024-12-23 20:00:00,157.097,157.24,156.889,157.171,11738
2024-12-24 00:00:00,157.184,157.389,157.04,157.086,17896
2024-12-24 04:00:00,157.08,157.143,156.88,157.138,18254
2024-12-24 08:00:00,157.139,157.174,156.98,157.14,16438
2024-12-24 12:00:00,157.137,157.344,157.069,157.331,19038
2024-12-24 16:00:00,157.329,157.43,157.225,157.311,11954
2024-12-24 20:00:00,157.306,157.34,156.926,157.104,2324
2024-12-25 00:00:00,157.1,157.33,156.893,157.13,2547
2024-12-25 04:00:00,157.129,157.48,156.853,157.101,2130
2024-12-25 08:00:00,157.093,157.545,146.202,155.369,132
2024-12-25 12:00:00,155.371,157.383,155.371,157.38,62
2024-12-25 16:00:00,157.37,157.391,157.156,157.229,193
2024-12-25 20:00:00,157.229,157.3,155.941,157.116,3688
2024-12-26 00:00:00,157.118,157.473,157.065,157.367,14568
2024-12-26 04:00:00,157.366,157.5,157.302,157.371,13684
2024-12-26 08:00:00,157.372,157.588,157.302,157.58,14678
2024-12-26 12:00:00,157.589,158.07,157.569,158.063,17648
2024-12-26 16:00:00,158.069,158.09,157.864,157.983,19637
2024-12-26 20:00:00,157.981,158.036,157.666,157.757,10832
2024-12-27 00:00:00,157.765,157.947,157.503,157.645,20359
2024-12-27 04:00:00,157.643,157.853,157.541,157.812,16995
2024-12-27 08:00:00,157.825,157.918,157.616,157.645,20036
2024-12-27 12:00:00,157.655,157.89,157.53,157.571,26797
2024-12-27 16:00:00,157.569,157.942,157.344,157.94,20903
2024-12-27 20:00:00,157.94,158.0,157.772,157.82,6596
2024-12-29 20:00:00,157.66,157.896,157.654,157.896,1605
2024-12-30 00:00:00,157.894,157.987,157.688,157.809,11920
2024-12-30 04:00:00,157.816,158.071,157.751,157.887,16387
2024-12-30 08:00:00,157.886,157.981,157.554,157.633,19393
2024-12-30 12:00:00,157.634,157.648,156.665,157.172,31589
2024-12-30 16:00:00,157.171,157.352,156.917,157.09,20381
2024-12-30 20:00:00,157.088,157.113,156.75,156.996,10139
2024-12-31 00:00:00,157.002,157.043,156.32,156.438,18845
2024-12-31 04:00:00,156.436,156.461,156.05,156.199,16621
2024-12-31 08:00:00,156.203,156.959,156.014,156.793,23790
2024-12-31 12:00:00,156.793,157.2,156.545,157.157,30774
2024-12-31 16:00:00,157.153,157.544,157.098,157.334,15064
2024-12-31 20:00:00,157.334,157.334,157.334,157.334,1
2025-01-01 20:00:00,157.195,157.775,157.064,157.702,4064
2025-01-02 00:00:00,157.699,157.771,157.129,157.154,18586
2025-01-02 04:00:00,157.156,157.21,156.431,156.667,18550
2025-01-02 08:00:00,156.679,157.281,156.45,157.195,25175
2025-01-02 12:00:00,157.2,157.233,156.631,157.146,34736
2025-01-02 16:00:00,157.142,157.846,157.12,157.616,28176
2025-01-02 20:00:00,157.615,157.651,157.347,157.35,10273
2025-01-03 00:00:00,157.36,157.46,157.16,157.305,19957
2025-01-03 04:00:00,157.31,157.388,157.032,157.136,19291
2025-01-03 08:00:00,157.135,157.421,157.086,157.243,23500
2025-01-03 12:00:00,157.243,157.492,157.02,157.392,28921
2025-01-03 16:00:00,157.39,157.399,156.869,157.201,19193
2025-01-03 20:00:00,157.202,157.376,157.121,157.149,5739
2025-01-05 20:00:00,157.131,157.526,157.131,157.502,2255
2025-01-06 00:00:00,157.513,157.825,157.48,157.713,18216
2025-01-06 04:00:00,157.714,157.807,157.52,157.661,16991
2025-01-06 08:00:00,157.662,157.96,157.16,157.198,27705
2025-01-06 12:00:00,157.199,157.654,156.237,157.531,41426
2025-01-06 16:00:00,157.528,157.67,157.343,157.545,21578
2025-01-06 20:00:00,157.543,157.811,157.362,157.738,9785
2025-01-07 00:00:00,157.735,158.416,157.731,158.122,23874
2025-01-07 04:00:00,158.121,158.152,157.45,157.495,21905
2025-01-07 08:00:00,157.494,157.846,157.35,157.71,25687
2025-01-07 12:00:00,157.713,158.423,157.533,157.938,32201
2025-01-07 16:00:00,157.941,158.042,157.583,157.777,32007
2025-01-07 20:00:00,157.775,158.242,157.731,158.219,11994
2025-01-08 00:00:00,158.222,158.227,157.898,158.195,21695
2025-01-08 04:00:00,158.196,158.262,157.923,158.112,17565
2025-01-08 08:00:00,158.11,158.547,158.047,158.37,23560
2025-01-08 12:00:00,158.371,158.545,158.139,158.368,34346
2025-01-08 16:00:00,158.372,158.517,158.268,158.461,24550
2025-01-08 20:00:00,158.464,158.464,158.174,158.191,11360
2025-01-09 00:00:00,158.19,158.326,157.91,157.97,17614
2025-01-09 04:00:00,157.964,158.202,157.756,158.194,19705
2025-01-09 08:00:00,158.193,158.286,157.819,157.903,21975
2025-01-09 12:00:00,157.902,157.976,157.56,157.971,22623
2025-01-09 16:00:00,157.968,158.162,157.918,158.108,13539
2025-01-09 20:00:00,158.111,158.192,158.001,158.042,6524
2025-01-10 00:00:00,158.034,158.279,157.924,158.23,19639
2025-01-10 04:00:00,158.23,158.45,158.226,158.387,17312
2025-01-10 08:00:00,158.386,158.426,157.617,157.991,26181
2025-01-10 12:00:00,157.991,158.875,157.22,157.553,45346
2025-01-10 16:00:00,157.556,157.983,157.539,157.87,28306
2025-01-10 20:00:00,157.871,157.932,157.627,157.631,7157
2025-01-12 20:00:00,157.702,157.923,157.672,157.904,2206
2025-01-13 00:00:00,157.896,157.963,157.265,157.41,18032
2025-01-13 04:00:00,157.416,157.595,157.243,157.459,20666
2025-01-13 08:00:00,157.457,157.667,157.007,157.313,28350
2025-01-13 12:00:00,157.311,157.583,156.909,157.516,32070
2025-01-13 16:00:00,157.517,157.815,157.28,157.798,21089
2025-01-13 20:00:00,157.808,157.808,157.11,157.307,12057
2025-01-14 00:00:00,157.304,158.019,157.038,157.557,24958
2025-01-14 04:00:00,157.556,157.72,157.29,157.522,20876
2025-01-14 08:00:00,157.522,158.027,157.38,157.935,24396
2025-01-14 12:00:00,157.939,158.15,157.384,157.962,36669
2025-01-14 16:00:00,157.966,158.21,157.827,157.939,22443
2025-01-14 20:00:00,157.938,158.065,157.866,158.047,9918
2025-01-15 00:00:00,158.046,158.082,157.82,157.882,19668
2025-01-15 04:00:00,157.885,157.934,156.836,156.88,23985
2025-01-15 08:00:00,156.881,157.208,156.7,157.01,25583
2025-01-15 12:00:00,157.012,157.089,155.933,156.292,40877
2025-01-15 16:00:00,156.289,156.732,156.281,156.462,24917
2025-01-15 20:00:00,156.461,156.549,156.209,156.216,10222
2025-01-16 00:00:00,156.216,156.525,155.205,155.771,29088
2025-01-16 04:00:00,155.772,156.313,155.598,156.182,21246
2025-01-16 08:00:00,156.184,156.234,155.609,155.781,24040
2025-01-16 12:00:00,155.781,156.361,155.387,155.424,38925
2025-01-16 16:00:00,155.422,155.552,155.097,155.29,28118
2025-01-16 20:00:00,155.292,155.403,155.058,155.367,9541
2025-01-17 00:00:00,155.361,155.484,154.976,155.441,22504
2025-01-17 04:00:00,155.442,155.78,155.359,155.61,18581
2025-01-17 08:00:00,155.613,155.846,155.4,155.689,22991
2025-01-17 12:00:00,155.69,156.2,155.553,156.103,33020
2025-01-17 16:00:00,156.104,156.373,156.098,156.143,21726
2025-01-17 20:00:00,156.144,156.31,156.099,156.293,6075
2025-01-19 20:00:00,156.19,156.579,156.19,156.305,2393
2025-01-20 00:00:00,156.304,156.356,155.7,155.738,17926
2025-01-20 04:00:00,155.738,156.283,155.727,155.988,17193
2025-01-20 08:00:00,155.987,156.457,155.94,156.339,19792
2025-01-20 12:00:00,156.338,156.466,155.405,155.686,36535
2025-01-20 16:00:00,155.689,156.064,155.581,155.631,18017
2025-01-20 20:00:00,155.64,155.722,155.156,155.272,12914
2025-01-21 00:00:00,155.274,156.24,154.768,155.182,32763
2025-01-21 04:00:00,155.185,155.752,154.947,155.674,20342
2025-01-21 08:00:00,155.672,156.053,155.609,155.905,25532
2025-01-21 12:00:00,155.91,155.951,155.248,155.324,34083
2025-01-21 16:00:00,155.33,155.591,155.3,155.555,23089
2025-01-21 20:00:00,155.553,155.826,155.378,155.737,10350
2025-01-22 00:00:00,155.75,155.958,155.348,155.919,23958
2025-01-22 04:00:00,155.924,156.071,155.68,156.044,20807
2025-01-22 08:00:00,156.048,156.112,155.54,155.868,25500
2025-01-22 12:00:00,155.873,156.425,155.744,156.402,30904
2025-01-22 16:00:00,156.401,156.708,156.37,156.521,23362
2025-01-22 20:00:00,156.52,156.588,156.163,156.433,10065
2025-01-23 00:00:00,156.443,156.61,156.281,156.495,20575
2025-01-23 04:00:00,156.497,156.75,156.468,156.607,19006
2025-01-23 08:00:00,156.609,156.632,156.2,156.548,23126
2025-01-23 12:00:00,156.544,156.594,156.099,156.165,31141
2025-01-23 16:00:00,156.166,156.39,155.738,155.794,27703
2025-01-23 20:00:00,155.802,156.18,155.749,156.132,10197
2025-01-24 00:00:00,156.138,156.411,155.423,155.475,25857
2025-01-24 04:00:00,155.478,155.733,154.836,155.383,33314
2025-01-24 08:00:00,155.384,156.106,154.936,156.096,33662
2025-01-24 12:00:00,156.102,156.573,155.624,155.729,39076
2025-01-24 16:00:00,155.728,156.021,155.51,155.815,24417
2025-01-24 20:00:00,155.817,156.012,155.815,156.012,5855
2025-01-26 20:00:00,155.611,155.821,155.561,155.717,3026
2025-01-27 00:00:00,155.717,155.875,155.284,155.79,21547
